10/04/24 13:20:51 Textual logger initiated. Now configuring tensorboard writer.
10/04/24 13:20:51 Tensorboard writers created. Tensorboard logs will be saved to "./Training Logs/10-04-24__13-20-51/tensorboard".
10/04/24 13:20:51 Starting Tensorboard thread...
10/04/24 13:20:55 Tensorboard is ready at http://localhost:6006/.
10/04/24 13:20:55 Continuing to training script...
10/04/24 13:20:58 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

10/04/24 13:20:58 Train Loader Image Data Size: (28, 28)
10/04/24 13:20:59 (0:00:01.18) | [1/10000] Batch 0 (1.146s) | LR: 1e-08 | KLW: 0, KLD (loss): 4914.667, Rec. Loss: 13952.25781250 | Total Loss: 13952.25781250
10/04/24 13:21:01 (0:00:03.46) | [1/10000] Batch 27 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4562.478, Rec. Loss: 12983.82226562 | Total Loss: 12983.82226562
10/04/24 13:21:01 (0:00:03.50) | [1/10000] Batch 28 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4645.810, Rec. Loss: 13288.36230469 | Total Loss: 13288.36230469
10/04/24 13:21:01 (0:00:03.54) | [1/10000] Batch 29 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4587.719, Rec. Loss: 13239.39550781 | Total Loss: 13239.39550781
10/04/24 13:21:01 (0:00:03.58) | [1/10000] Batch 30 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4750.033, Rec. Loss: 13599.08007812 | Total Loss: 13599.08007812
10/04/24 13:21:01 (0:00:03.61) | [1/10000] Batch 31 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4756.601, Rec. Loss: 13551.42382812 | Total Loss: 13551.42382812
10/04/24 13:21:01 (0:00:03.65) | [1/10000] Batch 32 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4646.698, Rec. Loss: 13315.97851562 | Total Loss: 13315.97851562
10/04/24 13:21:01 (0:00:03.69) | [1/10000] Batch 33 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4838.636, Rec. Loss: 13757.29589844 | Total Loss: 13757.29589844
10/04/24 13:21:01 (0:00:03.73) | [1/10000] Batch 34 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 5005.305, Rec. Loss: 14080.52246094 | Total Loss: 14080.52246094
10/04/24 13:21:01 (0:00:03.77) | [1/10000] Batch 35 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4571.422, Rec. Loss: 13024.78417969 | Total Loss: 13024.78417969
10/04/24 13:21:01 (0:00:03.81) | [1/10000] Batch 36 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4737.318, Rec. Loss: 13545.87792969 | Total Loss: 13545.87792969
10/04/24 13:21:02 (0:00:03.84) | [1/10000] Batch 37 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4859.939, Rec. Loss: 13782.16015625 | Total Loss: 13782.16015625
10/04/24 13:21:02 (0:00:03.88) | [1/10000] Batch 38 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4646.754, Rec. Loss: 13286.05859375 | Total Loss: 13286.05859375
10/04/24 13:21:02 (0:00:03.92) | [1/10000] Batch 39 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4511.895, Rec. Loss: 12812.91503906 | Total Loss: 12812.91503906
10/04/24 13:21:02 (0:00:03.96) | [1/10000] Batch 40 (0.009s) | LR: 1e-08 | KLW: 0, KLD (loss): 4586.789, Rec. Loss: 13174.16699219 | Total Loss: 13174.16699219
10/04/24 13:21:02 (0:00:04.00) | [1/10000] Batch 41 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4813.430, Rec. Loss: 13719.56542969 | Total Loss: 13719.56542969
10/04/24 13:21:02 (0:00:04.04) | [1/10000] Batch 42 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4672.701, Rec. Loss: 13317.91699219 | Total Loss: 13317.91699219
10/04/24 13:21:02 (0:00:04.08) | [1/10000] Batch 43 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4948.910, Rec. Loss: 14078.52246094 | Total Loss: 14078.52246094
10/04/24 13:21:02 (0:00:04.12) | [1/10000] Batch 44 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4819.574, Rec. Loss: 13729.09667969 | Total Loss: 13729.09667969
10/04/24 13:21:02 (0:00:04.16) | [1/10000] Batch 45 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4370.077, Rec. Loss: 12563.98828125 | Total Loss: 12563.98828125
10/04/24 13:21:02 (0:00:04.20) | [1/10000] Batch 46 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4960.257, Rec. Loss: 14094.20605469 | Total Loss: 14094.20605469
10/04/24 13:21:02 (0:00:04.24) | [1/10000] Batch 47 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4609.840, Rec. Loss: 13130.70703125 | Total Loss: 13130.70703125
10/04/24 13:21:02 (0:00:04.28) | [1/10000] Batch 48 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4651.371, Rec. Loss: 13257.73242188 | Total Loss: 13257.73242188
10/04/24 13:21:02 (0:00:04.31) | [1/10000] Batch 49 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4690.648, Rec. Loss: 13406.44042969 | Total Loss: 13406.44042969
10/04/24 13:21:02 (0:00:04.35) | [1/10000] Batch 50 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4594.549, Rec. Loss: 13166.21582031 | Total Loss: 13166.21582031
10/04/24 13:21:02 (0:00:04.39) | [1/10000] Batch 51 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4848.842, Rec. Loss: 13744.87207031 | Total Loss: 13744.87207031
10/04/24 13:21:02 (0:00:04.43) | [1/10000] Batch 52 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4840.570, Rec. Loss: 13809.15917969 | Total Loss: 13809.15917969
10/04/24 13:21:02 (0:00:04.47) | [1/10000] Batch 53 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4808.568, Rec. Loss: 13606.32617188 | Total Loss: 13606.32617188
10/04/24 13:21:02 (0:00:04.51) | [1/10000] Batch 54 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4645.947, Rec. Loss: 13177.61914062 | Total Loss: 13177.61914062
10/04/24 13:21:02 (0:00:04.55) | [1/10000] Batch 55 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 5213.351, Rec. Loss: 14913.73730469 | Total Loss: 14913.73730469
10/04/24 13:21:02 (0:00:04.59) | [1/10000] Batch 56 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4673.885, Rec. Loss: 13279.30078125 | Total Loss: 13279.30078125
10/04/24 13:21:02 (0:00:04.62) | [1/10000] Batch 57 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4373.026, Rec. Loss: 12470.76074219 | Total Loss: 12470.76074219
10/04/24 13:21:02 (0:00:04.66) | [1/10000] Batch 58 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4988.736, Rec. Loss: 14276.60449219 | Total Loss: 14276.60449219
10/04/24 13:21:02 (0:00:04.70) | [1/10000] Batch 59 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4968.843, Rec. Loss: 14109.89062500 | Total Loss: 14109.89062500
10/04/24 13:21:02 (0:00:04.74) | [1/10000] Batch 60 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4563.618, Rec. Loss: 13096.11621094 | Total Loss: 13096.11621094
10/04/24 13:21:02 (0:00:04.78) | [1/10000] Batch 61 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4744.734, Rec. Loss: 13456.18554688 | Total Loss: 13456.18554688
10/04/24 13:21:03 (0:00:04.82) | [1/10000] Batch 62 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4495.260, Rec. Loss: 12634.40820312 | Total Loss: 12634.40820312
10/04/24 13:21:03 (0:00:04.85) | [1/10000] Batch 63 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4729.176, Rec. Loss: 13471.48632812 | Total Loss: 13471.48632812
10/04/24 13:21:03 (0:00:04.89) | [1/10000] Batch 64 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4976.877, Rec. Loss: 14183.75878906 | Total Loss: 14183.75878906
10/04/24 13:21:03 (0:00:04.93) | [1/10000] Batch 65 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4683.456, Rec. Loss: 13333.10156250 | Total Loss: 13333.10156250
10/04/24 13:21:03 (0:00:04.97) | [1/10000] Batch 66 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4658.633, Rec. Loss: 13270.90332031 | Total Loss: 13270.90332031
10/04/24 13:21:03 (0:00:05.01) | [1/10000] Batch 67 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4445.034, Rec. Loss: 12690.52441406 | Total Loss: 12690.52441406
10/04/24 13:21:03 (0:00:05.05) | [1/10000] Batch 68 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4896.396, Rec. Loss: 13854.66894531 | Total Loss: 13854.66894531
10/04/24 13:21:03 (0:00:05.08) | [1/10000] Batch 69 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4731.601, Rec. Loss: 13509.29492188 | Total Loss: 13509.29492188
10/04/24 13:21:03 (0:00:05.12) | [1/10000] Batch 70 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4422.723, Rec. Loss: 12671.83203125 | Total Loss: 12671.83203125
10/04/24 13:21:03 (0:00:05.16) | [1/10000] Batch 71 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4716.197, Rec. Loss: 13521.06445312 | Total Loss: 13521.06445312
10/04/24 13:21:03 (0:00:05.20) | [1/10000] Batch 72 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4392.375, Rec. Loss: 12576.87792969 | Total Loss: 12576.87792969
10/04/24 13:21:03 (0:00:05.24) | [1/10000] Batch 73 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4758.132, Rec. Loss: 13389.89355469 | Total Loss: 13389.89355469
10/04/24 13:21:03 (0:00:05.28) | [1/10000] Batch 74 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4812.940, Rec. Loss: 13865.30566406 | Total Loss: 13865.30566406
10/04/24 13:21:03 (0:00:05.31) | [1/10000] Batch 75 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 5153.812, Rec. Loss: 14639.40234375 | Total Loss: 14639.40234375
10/04/24 13:21:03 (0:00:05.35) | [1/10000] Batch 76 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4373.772, Rec. Loss: 12632.88281250 | Total Loss: 12632.88281250
10/04/24 13:21:03 (0:00:05.39) | [1/10000] Batch 77 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4765.283, Rec. Loss: 13571.97558594 | Total Loss: 13571.97558594
10/04/24 13:21:03 (0:00:05.43) | [1/10000] Batch 78 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4650.617, Rec. Loss: 13231.72265625 | Total Loss: 13231.72265625
10/04/24 13:21:03 (0:00:05.47) | [1/10000] Batch 79 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 5112.249, Rec. Loss: 14488.08203125 | Total Loss: 14488.08203125
10/04/24 13:21:03 (0:00:05.51) | [1/10000] Batch 80 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4680.237, Rec. Loss: 13242.43261719 | Total Loss: 13242.43261719
10/04/24 13:21:03 (0:00:05.55) | [1/10000] Batch 81 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4749.922, Rec. Loss: 13656.37402344 | Total Loss: 13656.37402344
10/04/24 13:21:03 (0:00:05.59) | [1/10000] Batch 82 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4690.726, Rec. Loss: 13257.38769531 | Total Loss: 13257.38769531
10/04/24 13:21:03 (0:00:05.62) | [1/10000] Batch 83 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4560.187, Rec. Loss: 12839.40917969 | Total Loss: 12839.40917969
10/04/24 13:21:03 (0:00:05.66) | [1/10000] Batch 84 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4433.523, Rec. Loss: 12658.45410156 | Total Loss: 12658.45410156
10/04/24 13:21:03 (0:00:05.70) | [1/10000] Batch 85 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4903.683, Rec. Loss: 13864.08789062 | Total Loss: 13864.08789062
10/04/24 13:21:03 (0:00:05.74) | [1/10000] Batch 86 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4715.842, Rec. Loss: 13439.71289062 | Total Loss: 13439.71289062
10/04/24 13:21:03 (0:00:05.78) | [1/10000] Batch 87 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4800.707, Rec. Loss: 13738.99121094 | Total Loss: 13738.99121094
10/04/24 13:21:04 (0:00:05.82) | [1/10000] Batch 88 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4620.888, Rec. Loss: 13133.22949219 | Total Loss: 13133.22949219
10/04/24 13:21:04 (0:00:05.86) | [1/10000] Batch 89 (0.009s) | LR: 1e-08 | KLW: 0, KLD (loss): 4762.037, Rec. Loss: 13597.29980469 | Total Loss: 13597.29980469
10/04/24 13:21:04 (0:00:05.90) | [1/10000] Batch 90 (0.010s) | LR: 1e-08 | KLW: 0, KLD (loss): 4995.687, Rec. Loss: 14214.17773438 | Total Loss: 14214.17773438
10/04/24 13:21:04 (0:00:05.94) | [1/10000] Batch 91 (0.009s) | LR: 1e-08 | KLW: 0, KLD (loss): 4416.155, Rec. Loss: 12594.78320312 | Total Loss: 12594.78320312
10/04/24 13:21:04 (0:00:05.98) | [1/10000] Batch 92 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 5070.267, Rec. Loss: 14346.01757812 | Total Loss: 14346.01757812
10/04/24 13:21:04 (0:00:06.02) | [1/10000] Batch 93 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4418.545, Rec. Loss: 12692.23632812 | Total Loss: 12692.23632812
10/04/24 13:21:04 (0:00:06.05) | [1/10000] Batch 94 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4991.102, Rec. Loss: 14227.47265625 | Total Loss: 14227.47265625
10/04/24 13:21:04 (0:00:06.09) | [1/10000] Batch 95 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4968.279, Rec. Loss: 14049.24414062 | Total Loss: 14049.24414062
10/04/24 13:21:04 (0:00:06.13) | [1/10000] Batch 96 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4395.292, Rec. Loss: 12468.64062500 | Total Loss: 12468.64062500
10/04/24 13:21:04 (0:00:06.17) | [1/10000] Batch 97 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4880.105, Rec. Loss: 13796.14648438 | Total Loss: 13796.14648438
10/04/24 13:21:04 (0:00:06.21) | [1/10000] Batch 98 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4511.208, Rec. Loss: 12792.92187500 | Total Loss: 12792.92187500
10/04/24 13:21:04 (0:00:06.25) | [1/10000] Batch 99 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4565.509, Rec. Loss: 12934.24121094 | Total Loss: 12934.24121094
10/04/24 13:21:04 (0:00:06.29) | [1/10000] Batch 100 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4864.882, Rec. Loss: 13761.62304688 | Total Loss: 13761.62304688
10/04/24 13:21:04 (0:00:06.32) | [1/10000] Batch 101 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4795.602, Rec. Loss: 13706.13183594 | Total Loss: 13706.13183594
10/04/24 13:21:04 (0:00:06.36) | [1/10000] Batch 102 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4683.589, Rec. Loss: 13300.78417969 | Total Loss: 13300.78417969
10/04/24 13:21:04 (0:00:06.40) | [1/10000] Batch 103 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4874.015, Rec. Loss: 13833.86816406 | Total Loss: 13833.86816406
10/04/24 13:21:04 (0:00:06.44) | [1/10000] Batch 104 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4389.201, Rec. Loss: 12646.02929688 | Total Loss: 12646.02929688
10/04/24 13:21:04 (0:00:06.48) | [1/10000] Batch 105 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 5129.900, Rec. Loss: 14623.20605469 | Total Loss: 14623.20605469
10/04/24 13:21:04 (0:00:06.52) | [1/10000] Batch 106 (0.010s) | LR: 1e-08 | KLW: 0, KLD (loss): 4842.094, Rec. Loss: 13818.72460938 | Total Loss: 13818.72460938
10/04/24 13:21:04 (0:00:06.57) | [1/10000] Batch 107 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4932.274, Rec. Loss: 14025.10058594 | Total Loss: 14025.10058594
10/04/24 13:21:04 (0:00:06.61) | [1/10000] Batch 108 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4675.302, Rec. Loss: 13279.34570312 | Total Loss: 13279.34570312
10/04/24 13:21:04 (0:00:06.65) | [1/10000] Batch 109 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4534.214, Rec. Loss: 12848.43261719 | Total Loss: 12848.43261719
10/04/24 13:21:04 (0:00:06.70) | [1/10000] Batch 110 (0.010s) | LR: 1e-08 | KLW: 0, KLD (loss): 4739.445, Rec. Loss: 13396.51757812 | Total Loss: 13396.51757812
10/04/24 13:21:04 (0:00:06.74) | [1/10000] Batch 111 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4440.539, Rec. Loss: 12680.47070312 | Total Loss: 12680.47070312
10/04/24 13:21:04 (0:00:06.78) | [1/10000] Batch 112 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4664.679, Rec. Loss: 13235.55175781 | Total Loss: 13235.55175781
10/04/24 13:21:05 (0:00:06.82) | [1/10000] Batch 113 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4771.240, Rec. Loss: 13615.61816406 | Total Loss: 13615.61816406
10/04/24 13:21:05 (0:00:06.85) | [1/10000] Batch 114 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4443.151, Rec. Loss: 12686.41796875 | Total Loss: 12686.41796875
10/04/24 13:21:05 (0:00:06.89) | [1/10000] Batch 115 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 5015.714, Rec. Loss: 14246.50781250 | Total Loss: 14246.50781250
10/04/24 13:21:05 (0:00:06.93) | [1/10000] Batch 116 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4595.820, Rec. Loss: 13193.98437500 | Total Loss: 13193.98437500
10/04/24 13:21:05 (0:00:06.97) | [1/10000] Batch 117 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 5112.570, Rec. Loss: 14527.82519531 | Total Loss: 14527.82519531
10/04/24 13:21:05 (0:00:07.01) | [1/10000] Batch 118 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4911.472, Rec. Loss: 14030.07714844 | Total Loss: 14030.07714844
10/04/24 13:21:05 (0:00:07.05) | [1/10000] Batch 119 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4849.655, Rec. Loss: 13781.62792969 | Total Loss: 13781.62792969
10/04/24 13:21:05 (0:00:07.09) | [1/10000] Batch 120 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4696.845, Rec. Loss: 13483.58886719 | Total Loss: 13483.58886719
10/04/24 13:21:05 (0:00:07.13) | [1/10000] Batch 121 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4925.269, Rec. Loss: 14082.53027344 | Total Loss: 14082.53027344
10/04/24 13:21:05 (0:00:07.17) | [1/10000] Batch 122 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4902.482, Rec. Loss: 13907.55957031 | Total Loss: 13907.55957031
10/04/24 13:21:05 (0:00:07.21) | [1/10000] Batch 123 (0.009s) | LR: 1e-08 | KLW: 0, KLD (loss): 4748.356, Rec. Loss: 13556.53515625 | Total Loss: 13556.53515625
10/04/24 13:21:05 (0:00:07.24) | [1/10000] Batch 124 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4777.411, Rec. Loss: 13612.38671875 | Total Loss: 13612.38671875
10/04/24 13:21:05 (0:00:07.28) | [1/10000] Batch 125 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4531.261, Rec. Loss: 13043.03027344 | Total Loss: 13043.03027344
