09/10/24 10:34:53 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

09/10/24 10:34:53 Train Loader Image Data Size: (28, 28)
09/10/24 10:34:54 (0m 00s) | [1/10000] Batch 0 (0.682s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0125 | Abs. Loss: 10.01
09/10/24 10:34:55 (0m 01s) | [1/10000] Batch 12 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0024 | Abs. Loss: 130.07
09/10/24 10:34:55 (0m 01s) | [1/10000] Batch 13 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9990 | Abs. Loss: 140.07
09/10/24 10:34:55 (0m 01s) | [1/10000] Batch 14 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0173 | Abs. Loss: 150.09
09/10/24 10:34:55 (0m 01s) | [1/10000] Batch 15 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0045 | Abs. Loss: 160.09
09/10/24 10:34:55 (0m 01s) | [1/10000] Batch 16 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0162 | Abs. Loss: 170.11
09/10/24 10:34:55 (0m 02s) | [1/10000] Batch 17 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0158 | Abs. Loss: 180.12
09/10/24 10:34:55 (0m 02s) | [1/10000] Batch 18 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0250 | Abs. Loss: 190.15
09/10/24 10:34:55 (0m 02s) | [1/10000] Batch 19 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0061 | Abs. Loss: 200.16
09/10/24 10:34:55 (0m 02s) | [1/10000] Batch 20 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0057 | Abs. Loss: 210.16
09/10/24 10:34:55 (0m 02s) | [1/10000] Batch 21 (0.006s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0026 | Abs. Loss: 220.16
09/10/24 10:34:55 (0m 02s) | [1/10000] Batch 22 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9956 | Abs. Loss: 230.16
09/10/24 10:34:55 (0m 02s) | [1/10000] Batch 23 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0076 | Abs. Loss: 240.17
09/10/24 10:34:55 (0m 02s) | [1/10000] Batch 24 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0057 | Abs. Loss: 250.17
09/10/24 10:34:55 (0m 02s) | [1/10000] Batch 25 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0197 | Abs. Loss: 260.19
09/10/24 10:34:55 (0m 02s) | [1/10000] Batch 26 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9873 | Abs. Loss: 270.18
09/10/24 10:34:55 (0m 02s) | [1/10000] Batch 27 (0.006s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0104 | Abs. Loss: 280.19
09/10/24 10:34:55 (0m 02s) | [1/10000] Batch 28 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0115 | Abs. Loss: 290.20
09/10/24 10:34:55 (0m 02s) | [1/10000] Batch 29 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0019 | Abs. Loss: 300.20
09/10/24 10:34:55 (0m 02s) | [1/10000] Batch 30 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0024 | Abs. Loss: 310.21
09/10/24 10:34:55 (0m 02s) | [1/10000] Batch 31 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0066 | Abs. Loss: 320.21
09/10/24 10:34:55 (0m 02s) | [1/10000] Batch 32 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0117 | Abs. Loss: 330.22
09/10/24 10:34:56 (0m 02s) | [1/10000] Batch 33 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0164 | Abs. Loss: 340.24
09/10/24 10:34:56 (0m 02s) | [1/10000] Batch 34 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0074 | Abs. Loss: 350.25
09/10/24 10:34:56 (0m 02s) | [1/10000] Batch 35 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0231 | Abs. Loss: 360.27
09/10/24 10:34:56 (0m 02s) | [1/10000] Batch 36 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9908 | Abs. Loss: 370.26
09/10/24 10:34:56 (0m 02s) | [1/10000] Batch 37 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0264 | Abs. Loss: 380.29
09/10/24 10:34:56 (0m 02s) | [1/10000] Batch 38 (0.006s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0164 | Abs. Loss: 390.30
09/10/24 10:34:56 (0m 02s) | [1/10000] Batch 39 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0107 | Abs. Loss: 400.32
09/10/24 10:34:56 (0m 02s) | [1/10000] Batch 40 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.967 | Loss: 9.9866 | Abs. Loss: 410.30
09/10/24 10:34:56 (0m 02s) | [1/10000] Batch 41 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9966 | Abs. Loss: 420.30
09/10/24 10:34:56 (0m 02s) | [1/10000] Batch 42 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0324 | Abs. Loss: 430.33
09/10/24 10:34:56 (0m 02s) | [1/10000] Batch 43 (0.006s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0106 | Abs. Loss: 440.34
09/10/24 10:34:56 (0m 03s) | [1/10000] Batch 44 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0095 | Abs. Loss: 450.35
09/10/24 10:34:56 (0m 03s) | [1/10000] Batch 45 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0187 | Abs. Loss: 460.37
09/10/24 10:34:56 (0m 03s) | [1/10000] Batch 46 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0148 | Abs. Loss: 470.38
09/10/24 10:34:56 (0m 03s) | [1/10000] Batch 47 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0283 | Abs. Loss: 480.41
09/10/24 10:34:56 (0m 03s) | [1/10000] Batch 48 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0113 | Abs. Loss: 490.42
09/10/24 10:34:56 (0m 03s) | [1/10000] Batch 49 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0201 | Abs. Loss: 500.44
09/10/24 10:34:56 (0m 03s) | [1/10000] Batch 50 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9977 | Abs. Loss: 510.44
09/10/24 10:34:56 (0m 03s) | [1/10000] Batch 51 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.967 | Loss: 9.9814 | Abs. Loss: 520.42
09/10/24 10:34:56 (0m 03s) | [1/10000] Batch 52 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0279 | Abs. Loss: 530.45
09/10/24 10:34:56 (0m 03s) | [1/10000] Batch 53 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0201 | Abs. Loss: 540.47
09/10/24 10:34:56 (0m 03s) | [1/10000] Batch 54 (0.006s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0023 | Abs. Loss: 550.47
09/10/24 10:34:56 (0m 03s) | [1/10000] Batch 55 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9999 | Abs. Loss: 560.47
09/10/24 10:34:56 (0m 03s) | [1/10000] Batch 56 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.967 | Loss: 9.9788 | Abs. Loss: 570.45
09/10/24 10:34:56 (0m 03s) | [1/10000] Batch 57 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0096 | Abs. Loss: 580.46
09/10/24 10:34:56 (0m 03s) | [1/10000] Batch 58 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0406 | Abs. Loss: 590.50
09/10/24 10:34:56 (0m 03s) | [1/10000] Batch 59 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9915 | Abs. Loss: 600.49
09/10/24 10:34:56 (0m 03s) | [1/10000] Batch 60 (0.006s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9950 | Abs. Loss: 610.49
09/10/24 10:34:57 (0m 03s) | [1/10000] Batch 61 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9940 | Abs. Loss: 620.48
09/10/24 10:34:57 (0m 03s) | [1/10000] Batch 62 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0040 | Abs. Loss: 630.49
09/10/24 10:34:57 (0m 03s) | [1/10000] Batch 63 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0138 | Abs. Loss: 640.50
09/10/24 10:34:57 (0m 03s) | [1/10000] Batch 64 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0190 | Abs. Loss: 650.52
09/10/24 10:34:57 (0m 03s) | [1/10000] Batch 65 (0.006s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0044 | Abs. Loss: 660.52
09/10/24 10:34:57 (0m 03s) | [1/10000] Batch 66 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0104 | Abs. Loss: 670.53
09/10/24 10:34:57 (0m 03s) | [1/10000] Batch 67 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0126 | Abs. Loss: 680.55
09/10/24 10:34:57 (0m 03s) | [1/10000] Batch 68 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0115 | Abs. Loss: 690.56
09/10/24 10:34:57 (0m 03s) | [1/10000] Batch 69 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9995 | Abs. Loss: 700.56
09/10/24 10:34:57 (0m 03s) | [1/10000] Batch 70 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0134 | Abs. Loss: 710.57
09/10/24 10:34:57 (0m 04s) | [1/10000] Batch 71 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0276 | Abs. Loss: 720.60
09/10/24 10:34:57 (0m 04s) | [1/10000] Batch 72 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0237 | Abs. Loss: 730.62
09/10/24 10:34:57 (0m 04s) | [1/10000] Batch 73 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0131 | Abs. Loss: 740.64
09/10/24 10:34:57 (0m 04s) | [1/10000] Batch 74 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0296 | Abs. Loss: 750.67
09/10/24 10:34:57 (0m 04s) | [1/10000] Batch 75 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9905 | Abs. Loss: 760.66
09/10/24 10:34:57 (0m 04s) | [1/10000] Batch 76 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0031 | Abs. Loss: 770.66
09/10/24 10:34:57 (0m 04s) | [1/10000] Batch 77 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0059 | Abs. Loss: 780.67
09/10/24 10:34:57 (0m 04s) | [1/10000] Batch 78 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0175 | Abs. Loss: 790.68
09/10/24 10:34:57 (0m 04s) | [1/10000] Batch 79 (0.006s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9935 | Abs. Loss: 800.68
09/10/24 10:34:57 (0m 04s) | [1/10000] Batch 80 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0117 | Abs. Loss: 810.69
09/10/24 10:34:57 (0m 04s) | [1/10000] Batch 81 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0131 | Abs. Loss: 820.70
09/10/24 10:34:57 (0m 04s) | [1/10000] Batch 82 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0070 | Abs. Loss: 830.71
09/10/24 10:34:57 (0m 04s) | [1/10000] Batch 83 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0173 | Abs. Loss: 840.73
09/10/24 10:34:57 (0m 04s) | [1/10000] Batch 84 (0.006s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0043 | Abs. Loss: 850.73
09/10/24 10:34:57 (0m 04s) | [1/10000] Batch 85 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9986 | Abs. Loss: 860.73
09/10/24 10:34:58 (0m 04s) | [1/10000] Batch 86 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0300 | Abs. Loss: 870.76
09/10/24 10:34:58 (0m 04s) | [1/10000] Batch 87 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0348 | Abs. Loss: 880.79
09/10/24 10:34:58 (0m 04s) | [1/10000] Batch 88 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0004 | Abs. Loss: 890.79
09/10/24 10:34:58 (0m 04s) | [1/10000] Batch 89 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9960 | Abs. Loss: 900.79
09/10/24 10:34:58 (0m 04s) | [1/10000] Batch 90 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0326 | Abs. Loss: 910.82
09/10/24 10:34:58 (0m 04s) | [1/10000] Batch 91 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9971 | Abs. Loss: 920.82
09/10/24 10:34:58 (0m 04s) | [1/10000] Batch 92 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9952 | Abs. Loss: 930.81
09/10/24 10:34:58 (0m 04s) | [1/10000] Batch 93 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0161 | Abs. Loss: 940.83
09/10/24 10:34:58 (0m 04s) | [1/10000] Batch 94 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.967 | Loss: 9.9913 | Abs. Loss: 950.82
09/10/24 10:34:58 (0m 04s) | [1/10000] Batch 95 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0223 | Abs. Loss: 960.84
09/10/24 10:34:58 (0m 04s) | [1/10000] Batch 96 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0555 | Abs. Loss: 970.90
09/10/24 10:34:58 (0m 05s) | [1/10000] Batch 97 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0016 | Abs. Loss: 980.90
09/10/24 10:34:58 (0m 05s) | [1/10000] Batch 98 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.967 | Loss: 9.9755 | Abs. Loss: 990.88
09/10/24 10:34:58 (0m 05s) | [1/10000] Batch 99 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0158 | Abs. Loss: 1000.89
09/10/24 10:34:58 (0m 05s) | [1/10000] Batch 100 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9972 | Abs. Loss: 1010.89
09/10/24 10:34:58 (0m 05s) | [1/10000] Batch 101 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0248 | Abs. Loss: 1020.91
09/10/24 10:34:58 (0m 05s) | [1/10000] Batch 102 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0247 | Abs. Loss: 1030.94
09/10/24 10:34:58 (0m 05s) | [1/10000] Batch 103 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9978 | Abs. Loss: 1040.94
09/10/24 10:34:58 (0m 05s) | [1/10000] Batch 104 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.967 | Loss: 9.9774 | Abs. Loss: 1050.91
09/10/24 10:34:58 (0m 05s) | [1/10000] Batch 105 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0003 | Abs. Loss: 1060.91
09/10/24 10:34:58 (0m 05s) | [1/10000] Batch 106 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9937 | Abs. Loss: 1070.91
09/10/24 10:34:58 (0m 05s) | [1/10000] Batch 107 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0104 | Abs. Loss: 1080.92
09/10/24 10:34:58 (0m 05s) | [1/10000] Batch 108 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0232 | Abs. Loss: 1090.94
09/10/24 10:34:58 (0m 05s) | [1/10000] Batch 109 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9913 | Abs. Loss: 1100.93
09/10/24 10:34:58 (0m 05s) | [1/10000] Batch 110 (0.006s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0046 | Abs. Loss: 1110.94
09/10/24 10:34:58 (0m 05s) | [1/10000] Batch 111 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0227 | Abs. Loss: 1120.96
09/10/24 10:34:58 (0m 05s) | [1/10000] Batch 112 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0267 | Abs. Loss: 1130.99
09/10/24 10:34:59 (0m 05s) | [1/10000] Batch 113 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0001 | Abs. Loss: 1140.99
09/10/24 10:34:59 (0m 05s) | [1/10000] Batch 114 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0130 | Abs. Loss: 1151.00
09/10/24 10:34:59 (0m 05s) | [1/10000] Batch 115 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.967 | Loss: 9.9773 | Abs. Loss: 1160.98
09/10/24 10:34:59 (0m 05s) | [1/10000] Batch 116 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0144 | Abs. Loss: 1170.99
09/10/24 10:34:59 (0m 05s) | [1/10000] Batch 117 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9880 | Abs. Loss: 1180.98
09/10/24 10:34:59 (0m 05s) | [1/10000] Batch 118 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9972 | Abs. Loss: 1190.98
09/10/24 10:34:59 (0m 05s) | [1/10000] Batch 119 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0356 | Abs. Loss: 1201.01
09/10/24 10:34:59 (0m 05s) | [1/10000] Batch 120 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0169 | Abs. Loss: 1211.03
09/10/24 10:34:59 (0m 05s) | [1/10000] Batch 121 (0.006s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0415 | Abs. Loss: 1221.07
09/10/24 10:34:59 (0m 05s) | [1/10000] Batch 122 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9926 | Abs. Loss: 1231.06
09/10/24 10:34:59 (0m 05s) | [1/10000] Batch 123 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0134 | Abs. Loss: 1241.08
09/10/24 10:34:59 (0m 06s) | [1/10000] Batch 124 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.967 | Loss: 9.9814 | Abs. Loss: 1251.06
09/10/24 10:34:59 (0m 06s) | [1/10000] Batch 125 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0014 | Abs. Loss: 1261.06
09/10/24 10:34:59 (0m 06s) | [1/10000] Batch 126 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9907 | Abs. Loss: 1271.05
09/10/24 10:34:59 (0m 06s) | [1/10000] Batch 127 (0.006s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0179 | Abs. Loss: 1281.07
09/10/24 10:34:59 (0m 06s) | [1/10000] Batch 128 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9840 | Abs. Loss: 1291.05
09/10/24 10:34:59 (0m 06s) | [1/10000] Batch 129 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9928 | Abs. Loss: 1301.05
09/10/24 10:34:59 (0m 06s) | [1/10000] Batch 130 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.967 | Loss: 9.9738 | Abs. Loss: 1311.02
09/10/24 10:34:59 (0m 06s) | [1/10000] Batch 131 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0045 | Abs. Loss: 1321.02
09/10/24 10:34:59 (0m 06s) | [1/10000] Batch 132 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9996 | Abs. Loss: 1331.02
09/10/24 10:34:59 (0m 06s) | [1/10000] Batch 133 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.967 | Loss: 9.9874 | Abs. Loss: 1341.01
09/10/24 10:34:59 (0m 06s) | [1/10000] Batch 134 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0402 | Abs. Loss: 1351.05
09/10/24 10:34:59 (0m 06s) | [1/10000] Batch 135 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9883 | Abs. Loss: 1361.04
09/10/24 10:34:59 (0m 06s) | [1/10000] Batch 136 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.967 | Loss: 9.9799 | Abs. Loss: 1371.02
09/10/24 10:34:59 (0m 06s) | [1/10000] Batch 137 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0185 | Abs. Loss: 1381.04
09/10/24 10:34:59 (0m 06s) | [1/10000] Batch 138 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0116 | Abs. Loss: 1391.05
09/10/24 10:34:59 (0m 06s) | [1/10000] Batch 139 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.967 | Loss: 9.9930 | Abs. Loss: 1401.04
09/10/24 10:35:00 (0m 06s) | [1/10000] Batch 140 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0173 | Abs. Loss: 1411.06
