09/11/24 22:42:40 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 8), ('leak', 0.99), ('drop', 0.5), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 8), ('leak', 0.99), ('drop', 0.5))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 8), ('leak', 0.99), ('drop', 0.5))

09/11/24 22:42:40 Train Loader Image Data Size: (28, 28)
09/11/24 22:42:41 (0m 00s) | [1/10000] Batch 0 (0.699s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.011313 | Abs. Loss: 1.01
09/11/24 22:42:44 (0m 03s) | [1/10000] Batch 52 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.008559 | Abs. Loss: 53.53
09/11/24 22:42:44 (0m 03s) | [1/10000] Batch 53 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.008506 | Abs. Loss: 54.53
09/11/24 22:42:44 (0m 03s) | [1/10000] Batch 54 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.008450 | Abs. Loss: 55.54
09/11/24 22:42:44 (0m 03s) | [1/10000] Batch 55 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.008375 | Abs. Loss: 56.55
09/11/24 22:42:44 (0m 03s) | [1/10000] Batch 56 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.008483 | Abs. Loss: 57.56
09/11/24 22:42:44 (0m 03s) | [1/10000] Batch 57 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.008268 | Abs. Loss: 58.57
09/11/24 22:42:44 (0m 03s) | [1/10000] Batch 58 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.008202 | Abs. Loss: 59.58
09/11/24 22:42:44 (0m 03s) | [1/10000] Batch 59 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.008151 | Abs. Loss: 60.58
09/11/24 22:42:44 (0m 03s) | [1/10000] Batch 60 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.008125 | Abs. Loss: 61.59
09/11/24 22:42:44 (0m 03s) | [1/10000] Batch 61 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.008064 | Abs. Loss: 62.60
09/11/24 22:42:44 (0m 03s) | [1/10000] Batch 62 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.007798 | Abs. Loss: 63.61
09/11/24 22:42:44 (0m 03s) | [1/10000] Batch 63 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.007965 | Abs. Loss: 64.62
09/11/24 22:42:44 (0m 03s) | [1/10000] Batch 64 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.007945 | Abs. Loss: 65.62
09/11/24 22:42:44 (0m 03s) | [1/10000] Batch 65 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.007916 | Abs. Loss: 66.63
09/11/24 22:42:44 (0m 03s) | [1/10000] Batch 66 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.007771 | Abs. Loss: 67.64
09/11/24 22:42:44 (0m 03s) | [1/10000] Batch 67 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.007781 | Abs. Loss: 68.65
09/11/24 22:42:44 (0m 04s) | [1/10000] Batch 68 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.007800 | Abs. Loss: 69.66
09/11/24 22:42:44 (0m 04s) | [1/10000] Batch 69 (0.007s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.007632 | Abs. Loss: 70.66
09/11/24 22:42:44 (0m 04s) | [1/10000] Batch 70 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.007621 | Abs. Loss: 71.67
09/11/24 22:42:44 (0m 04s) | [1/10000] Batch 71 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.007383 | Abs. Loss: 72.68
09/11/24 22:42:44 (0m 04s) | [1/10000] Batch 72 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.007499 | Abs. Loss: 73.69
09/11/24 22:42:44 (0m 04s) | [1/10000] Batch 73 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.007429 | Abs. Loss: 74.69
09/11/24 22:42:44 (0m 04s) | [1/10000] Batch 74 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.007532 | Abs. Loss: 75.70
09/11/24 22:42:44 (0m 04s) | [1/10000] Batch 75 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.007311 | Abs. Loss: 76.71
09/11/24 22:42:44 (0m 04s) | [1/10000] Batch 76 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.007093 | Abs. Loss: 77.72
09/11/24 22:42:44 (0m 04s) | [1/10000] Batch 77 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.007421 | Abs. Loss: 78.72
09/11/24 22:42:45 (0m 04s) | [1/10000] Batch 78 (0.007s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.007280 | Abs. Loss: 79.73
09/11/24 22:42:45 (0m 04s) | [1/10000] Batch 79 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.007158 | Abs. Loss: 80.74
09/11/24 22:42:45 (0m 04s) | [1/10000] Batch 80 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.007202 | Abs. Loss: 81.74
09/11/24 22:42:45 (0m 04s) | [1/10000] Batch 81 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.007157 | Abs. Loss: 82.75
09/11/24 22:42:45 (0m 04s) | [1/10000] Batch 82 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.006957 | Abs. Loss: 83.76
09/11/24 22:42:45 (0m 04s) | [1/10000] Batch 83 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.006777 | Abs. Loss: 84.77
09/11/24 22:42:45 (0m 04s) | [1/10000] Batch 84 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.006873 | Abs. Loss: 85.77
09/11/24 22:42:45 (0m 04s) | [1/10000] Batch 85 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.006715 | Abs. Loss: 86.78
09/11/24 22:42:45 (0m 04s) | [1/10000] Batch 86 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.006666 | Abs. Loss: 87.79
09/11/24 22:42:45 (0m 04s) | [1/10000] Batch 87 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.006684 | Abs. Loss: 88.79
09/11/24 22:42:45 (0m 04s) | [1/10000] Batch 88 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.006695 | Abs. Loss: 89.80
09/11/24 22:42:45 (0m 04s) | [1/10000] Batch 89 (0.007s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.006697 | Abs. Loss: 90.81
09/11/24 22:42:45 (0m 04s) | [1/10000] Batch 90 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.006537 | Abs. Loss: 91.81
09/11/24 22:42:45 (0m 04s) | [1/10000] Batch 91 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.006399 | Abs. Loss: 92.82
09/11/24 22:42:45 (0m 04s) | [1/10000] Batch 92 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.006431 | Abs. Loss: 93.82
09/11/24 22:42:45 (0m 04s) | [1/10000] Batch 93 (0.007s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.006316 | Abs. Loss: 94.83
09/11/24 22:42:45 (0m 04s) | [1/10000] Batch 94 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.006312 | Abs. Loss: 95.84
09/11/24 22:42:45 (0m 05s) | [1/10000] Batch 95 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.006220 | Abs. Loss: 96.84
09/11/24 22:42:45 (0m 05s) | [1/10000] Batch 96 (0.007s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.006231 | Abs. Loss: 97.85
09/11/24 22:42:45 (0m 05s) | [1/10000] Batch 97 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.006183 | Abs. Loss: 98.86
09/11/24 22:42:45 (0m 05s) | [1/10000] Batch 98 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.006146 | Abs. Loss: 99.86
09/11/24 22:42:45 (0m 05s) | [1/10000] Batch 99 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.006039 | Abs. Loss: 100.87
09/11/24 22:42:45 (0m 05s) | [1/10000] Batch 100 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.005908 | Abs. Loss: 101.87
09/11/24 22:42:45 (0m 05s) | [1/10000] Batch 101 (0.007s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.005858 | Abs. Loss: 102.88
09/11/24 22:42:45 (0m 05s) | [1/10000] Batch 102 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.005836 | Abs. Loss: 103.89
09/11/24 22:42:45 (0m 05s) | [1/10000] Batch 103 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.005885 | Abs. Loss: 104.89
09/11/24 22:42:46 (0m 05s) | [1/10000] Batch 104 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.005928 | Abs. Loss: 105.90
09/11/24 22:42:46 (0m 05s) | [1/10000] Batch 105 (0.007s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.005917 | Abs. Loss: 106.90
09/11/24 22:42:46 (0m 05s) | [1/10000] Batch 106 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.005719 | Abs. Loss: 107.91
09/11/24 22:42:46 (0m 05s) | [1/10000] Batch 107 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.005612 | Abs. Loss: 108.91
09/11/24 22:42:46 (0m 05s) | [1/10000] Batch 108 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.005685 | Abs. Loss: 109.92
09/11/24 22:42:46 (0m 05s) | [1/10000] Batch 109 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.005674 | Abs. Loss: 110.93
09/11/24 22:42:46 (0m 05s) | [1/10000] Batch 110 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.005443 | Abs. Loss: 111.93
09/11/24 22:42:46 (0m 05s) | [1/10000] Batch 111 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.005506 | Abs. Loss: 112.94
09/11/24 22:42:46 (0m 05s) | [1/10000] Batch 112 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.005400 | Abs. Loss: 113.94
09/11/24 22:42:46 (0m 05s) | [1/10000] Batch 113 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.005263 | Abs. Loss: 114.95
09/11/24 22:42:46 (0m 05s) | [1/10000] Batch 114 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.005252 | Abs. Loss: 115.95
09/11/24 22:42:46 (0m 05s) | [1/10000] Batch 115 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.005100 | Abs. Loss: 116.96
09/11/24 22:42:46 (0m 05s) | [1/10000] Batch 116 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.005198 | Abs. Loss: 117.96
09/11/24 22:42:46 (0m 05s) | [1/10000] Batch 117 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.005339 | Abs. Loss: 118.97
09/11/24 22:42:46 (0m 05s) | [1/10000] Batch 118 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.005044 | Abs. Loss: 119.97
09/11/24 22:42:46 (0m 05s) | [1/10000] Batch 119 (0.007s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.005041 | Abs. Loss: 120.98
09/11/24 22:42:46 (0m 05s) | [1/10000] Batch 120 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.005007 | Abs. Loss: 121.98
09/11/24 22:42:46 (0m 05s) | [1/10000] Batch 121 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.005199 | Abs. Loss: 122.99
09/11/24 22:42:46 (0m 06s) | [1/10000] Batch 122 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.005019 | Abs. Loss: 123.99
09/11/24 22:42:46 (0m 06s) | [1/10000] Batch 123 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.004877 | Abs. Loss: 125.00
09/11/24 22:42:46 (0m 06s) | [1/10000] Batch 124 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.004571 | Abs. Loss: 126.00
09/11/24 22:42:46 (0m 06s) | [1/10000] Batch 125 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.004686 | Abs. Loss: 127.01
09/11/24 22:42:46 (0m 06s) | [1/10000] Batch 126 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.004790 | Abs. Loss: 128.01
09/11/24 22:42:46 (0m 06s) | [1/10000] Batch 127 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.004611 | Abs. Loss: 129.02
09/11/24 22:42:46 (0m 06s) | [1/10000] Batch 128 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.004576 | Abs. Loss: 130.02
09/11/24 22:42:46 (0m 06s) | [1/10000] Batch 129 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.004552 | Abs. Loss: 131.03
09/11/24 22:42:46 (0m 06s) | [1/10000] Batch 130 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.004230 | Abs. Loss: 132.03
09/11/24 22:42:46 (0m 06s) | [1/10000] Batch 131 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.004402 | Abs. Loss: 133.04
09/11/24 22:42:47 (0m 06s) | [1/10000] Batch 132 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.004514 | Abs. Loss: 134.04
09/11/24 22:42:47 (0m 06s) | [1/10000] Batch 133 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.004332 | Abs. Loss: 135.04
09/11/24 22:42:47 (0m 06s) | [1/10000] Batch 134 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.004383 | Abs. Loss: 136.05
09/11/24 22:42:47 (0m 06s) | [1/10000] Batch 135 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.004360 | Abs. Loss: 137.05
09/11/24 22:42:47 (0m 06s) | [1/10000] Batch 136 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.004302 | Abs. Loss: 138.06
09/11/24 22:42:47 (0m 06s) | [1/10000] Batch 137 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.004098 | Abs. Loss: 139.06
