07/24/24 09:48:18 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

07/24/24 09:48:18 (0m 00s) | [1/15] Batch 0 (0.672s) | LR: 0.001 | KLD: 10.097, KLW: 1, Rec. Loss: 0.674 | Loss: 10.77 | Abs. Loss: 10.77
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 46 (0.005s) | LR: 0.001 | KLD: 0.010, KLW: 1, Rec. Loss: 0.264 | Loss: 0.27 | Abs. Loss: 39.90
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 47 (0.005s) | LR: 0.001 | KLD: 0.015, KLW: 1, Rec. Loss: 0.271 | Loss: 0.29 | Abs. Loss: 40.18
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 48 (0.004s) | LR: 0.001 | KLD: 0.013, KLW: 1, Rec. Loss: 0.274 | Loss: 0.29 | Abs. Loss: 40.47
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 49 (0.005s) | LR: 0.001 | KLD: 0.013, KLW: 1, Rec. Loss: 0.271 | Loss: 0.28 | Abs. Loss: 40.75
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 50 (0.004s) | LR: 0.001 | KLD: 0.011, KLW: 1, Rec. Loss: 0.264 | Loss: 0.28 | Abs. Loss: 41.03
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 51 (0.004s) | LR: 0.001 | KLD: 0.012, KLW: 1, Rec. Loss: 0.273 | Loss: 0.29 | Abs. Loss: 41.31
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 52 (0.006s) | LR: 0.001 | KLD: 0.009, KLW: 1, Rec. Loss: 0.264 | Loss: 0.27 | Abs. Loss: 41.59
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 53 (0.005s) | LR: 0.001 | KLD: 0.011, KLW: 1, Rec. Loss: 0.261 | Loss: 0.27 | Abs. Loss: 41.86
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 54 (0.004s) | LR: 0.001 | KLD: 0.010, KLW: 1, Rec. Loss: 0.272 | Loss: 0.28 | Abs. Loss: 42.14
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 55 (0.006s) | LR: 0.001 | KLD: 0.009, KLW: 1, Rec. Loss: 0.263 | Loss: 0.27 | Abs. Loss: 42.41
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 56 (0.006s) | LR: 0.001 | KLD: 0.010, KLW: 1, Rec. Loss: 0.273 | Loss: 0.28 | Abs. Loss: 42.69
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 57 (0.005s) | LR: 0.001 | KLD: 0.008, KLW: 1, Rec. Loss: 0.261 | Loss: 0.27 | Abs. Loss: 42.96
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 58 (0.005s) | LR: 0.001 | KLD: 0.007, KLW: 1, Rec. Loss: 0.270 | Loss: 0.28 | Abs. Loss: 43.24
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 59 (0.005s) | LR: 0.001 | KLD: 0.006, KLW: 1, Rec. Loss: 0.271 | Loss: 0.28 | Abs. Loss: 43.52
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 60 (0.005s) | LR: 0.001 | KLD: 0.007, KLW: 1, Rec. Loss: 0.269 | Loss: 0.28 | Abs. Loss: 43.79
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 61 (0.006s) | LR: 0.001 | KLD: 0.008, KLW: 1, Rec. Loss: 0.267 | Loss: 0.28 | Abs. Loss: 44.07
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 62 (0.005s) | LR: 0.001 | KLD: 0.008, KLW: 1, Rec. Loss: 0.255 | Loss: 0.26 | Abs. Loss: 44.33
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 63 (0.005s) | LR: 0.001 | KLD: 0.007, KLW: 1, Rec. Loss: 0.269 | Loss: 0.28 | Abs. Loss: 44.61
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 64 (0.006s) | LR: 0.001 | KLD: 0.009, KLW: 1, Rec. Loss: 0.271 | Loss: 0.28 | Abs. Loss: 44.89
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 65 (0.006s) | LR: 0.001 | KLD: 0.010, KLW: 1, Rec. Loss: 0.265 | Loss: 0.27 | Abs. Loss: 45.16
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 66 (0.004s) | LR: 0.001 | KLD: 0.009, KLW: 1, Rec. Loss: 0.268 | Loss: 0.28 | Abs. Loss: 45.44
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 67 (0.006s) | LR: 0.001 | KLD: 0.006, KLW: 1, Rec. Loss: 0.268 | Loss: 0.27 | Abs. Loss: 45.71
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 68 (0.005s) | LR: 0.001 | KLD: 0.007, KLW: 1, Rec. Loss: 0.259 | Loss: 0.27 | Abs. Loss: 45.98
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 69 (0.005s) | LR: 0.001 | KLD: 0.007, KLW: 1, Rec. Loss: 0.261 | Loss: 0.27 | Abs. Loss: 46.25
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 70 (0.005s) | LR: 0.001 | KLD: 0.005, KLW: 1, Rec. Loss: 0.266 | Loss: 0.27 | Abs. Loss: 46.52
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 71 (0.006s) | LR: 0.001 | KLD: 0.009, KLW: 1, Rec. Loss: 0.271 | Loss: 0.28 | Abs. Loss: 46.80
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 72 (0.005s) | LR: 0.001 | KLD: 0.007, KLW: 1, Rec. Loss: 0.264 | Loss: 0.27 | Abs. Loss: 47.07
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 73 (0.006s) | LR: 0.001 | KLD: 0.006, KLW: 1, Rec. Loss: 0.248 | Loss: 0.25 | Abs. Loss: 47.32
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 74 (0.005s) | LR: 0.001 | KLD: 0.008, KLW: 1, Rec. Loss: 0.280 | Loss: 0.29 | Abs. Loss: 47.61
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 75 (0.004s) | LR: 0.001 | KLD: 0.006, KLW: 1, Rec. Loss: 0.266 | Loss: 0.27 | Abs. Loss: 47.88
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 76 (0.005s) | LR: 0.001 | KLD: 0.007, KLW: 1, Rec. Loss: 0.265 | Loss: 0.27 | Abs. Loss: 48.15
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 77 (0.005s) | LR: 0.001 | KLD: 0.006, KLW: 1, Rec. Loss: 0.260 | Loss: 0.27 | Abs. Loss: 48.42
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 78 (0.005s) | LR: 0.001 | KLD: 0.006, KLW: 1, Rec. Loss: 0.267 | Loss: 0.27 | Abs. Loss: 48.69
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 79 (0.006s) | LR: 0.001 | KLD: 0.007, KLW: 1, Rec. Loss: 0.270 | Loss: 0.28 | Abs. Loss: 48.97
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 80 (0.006s) | LR: 0.001 | KLD: 0.007, KLW: 1, Rec. Loss: 0.260 | Loss: 0.27 | Abs. Loss: 49.24
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 81 (0.004s) | LR: 0.001 | KLD: 0.006, KLW: 1, Rec. Loss: 0.270 | Loss: 0.28 | Abs. Loss: 49.51
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 82 (0.006s) | LR: 0.001 | KLD: 0.006, KLW: 1, Rec. Loss: 0.278 | Loss: 0.28 | Abs. Loss: 49.80
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 83 (0.005s) | LR: 0.001 | KLD: 0.006, KLW: 1, Rec. Loss: 0.273 | Loss: 0.28 | Abs. Loss: 50.08
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 84 (0.006s) | LR: 0.001 | KLD: 0.005, KLW: 1, Rec. Loss: 0.259 | Loss: 0.26 | Abs. Loss: 50.34
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 85 (0.006s) | LR: 0.001 | KLD: 0.006, KLW: 1, Rec. Loss: 0.262 | Loss: 0.27 | Abs. Loss: 50.61
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 86 (0.006s) | LR: 0.001 | KLD: 0.006, KLW: 1, Rec. Loss: 0.279 | Loss: 0.28 | Abs. Loss: 50.89
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 87 (0.005s) | LR: 0.001 | KLD: 0.006, KLW: 1, Rec. Loss: 0.263 | Loss: 0.27 | Abs. Loss: 51.16
07/24/24 09:48:21 (0m 02s) | [1/15] Batch 88 (0.004s) | LR: 0.001 | KLD: 0.008, KLW: 1, Rec. Loss: 0.268 | Loss: 0.28 | Abs. Loss: 51.44
07/24/24 09:48:21 (0m 02s) | [1/15] Batch 89 (0.005s) | LR: 0.001 | KLD: 0.006, KLW: 1, Rec. Loss: 0.264 | Loss: 0.27 | Abs. Loss: 51.71
07/24/24 09:48:21 (0m 02s) | [1/15] Batch 90 (0.004s) | LR: 0.001 | KLD: 0.007, KLW: 1, Rec. Loss: 0.267 | Loss: 0.27 | Abs. Loss: 51.98
07/24/24 09:48:21 (0m 02s) | [1/15] Batch 91 (0.005s) | LR: 0.001 | KLD: 0.005, KLW: 1, Rec. Loss: 0.262 | Loss: 0.27 | Abs. Loss: 52.25
07/24/24 09:48:21 (0m 02s) | [1/15] Batch 92 (0.006s) | LR: 0.001 | KLD: 0.005, KLW: 1, Rec. Loss: 0.262 | Loss: 0.27 | Abs. Loss: 52.51
07/24/24 09:48:21 (0m 02s) | [1/15] Batch 93 (0.005s) | LR: 0.001 | KLD: 0.006, KLW: 1, Rec. Loss: 0.261 | Loss: 0.27 | Abs. Loss: 52.78
07/24/24 09:48:21 (0m 02s) | [1/15] Batch 94 (0.006s) | LR: 0.001 | KLD: 0.006, KLW: 1, Rec. Loss: 0.270 | Loss: 0.28 | Abs. Loss: 53.06
07/24/24 09:48:21 (0m 02s) | [1/15] Batch 95 (0.005s) | LR: 0.001 | KLD: 0.005, KLW: 1, Rec. Loss: 0.266 | Loss: 0.27 | Abs. Loss: 53.33
07/24/24 09:48:21 (0m 02s) | [1/15] Batch 96 (0.004s) | LR: 0.001 | KLD: 0.006, KLW: 1, Rec. Loss: 0.261 | Loss: 0.27 | Abs. Loss: 53.60
07/24/24 09:48:21 (0m 02s) | [1/15] Batch 97 (0.005s) | LR: 0.001 | KLD: 0.005, KLW: 1, Rec. Loss: 0.265 | Loss: 0.27 | Abs. Loss: 53.87
07/24/24 09:48:21 (0m 02s) | [1/15] Batch 98 (0.005s) | LR: 0.001 | KLD: 0.006, KLW: 1, Rec. Loss: 0.265 | Loss: 0.27 | Abs. Loss: 54.14
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 99 (0.004s) | LR: 0.001 | KLD: 0.004, KLW: 1, Rec. Loss: 0.273 | Loss: 0.28 | Abs. Loss: 54.41
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 100 (0.004s) | LR: 0.001 | KLD: 0.005, KLW: 1, Rec. Loss: 0.261 | Loss: 0.27 | Abs. Loss: 54.68
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 101 (0.004s) | LR: 0.001 | KLD: 0.006, KLW: 1, Rec. Loss: 0.258 | Loss: 0.26 | Abs. Loss: 54.94
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 102 (0.004s) | LR: 0.001 | KLD: 0.006, KLW: 1, Rec. Loss: 0.255 | Loss: 0.26 | Abs. Loss: 55.20
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 103 (0.005s) | LR: 0.001 | KLD: 0.004, KLW: 1, Rec. Loss: 0.266 | Loss: 0.27 | Abs. Loss: 55.47
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 104 (0.004s) | LR: 0.001 | KLD: 0.005, KLW: 1, Rec. Loss: 0.270 | Loss: 0.28 | Abs. Loss: 55.75
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 105 (0.005s) | LR: 0.001 | KLD: 0.004, KLW: 1, Rec. Loss: 0.270 | Loss: 0.27 | Abs. Loss: 56.02
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 106 (0.004s) | LR: 0.001 | KLD: 0.005, KLW: 1, Rec. Loss: 0.269 | Loss: 0.27 | Abs. Loss: 56.30
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 107 (0.005s) | LR: 0.001 | KLD: 0.006, KLW: 1, Rec. Loss: 0.257 | Loss: 0.26 | Abs. Loss: 56.56
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 108 (0.004s) | LR: 0.001 | KLD: 0.004, KLW: 1, Rec. Loss: 0.258 | Loss: 0.26 | Abs. Loss: 56.82
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 109 (0.004s) | LR: 0.001 | KLD: 0.005, KLW: 1, Rec. Loss: 0.259 | Loss: 0.26 | Abs. Loss: 57.08
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 110 (0.005s) | LR: 0.001 | KLD: 0.004, KLW: 1, Rec. Loss: 0.266 | Loss: 0.27 | Abs. Loss: 57.35
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 111 (0.005s) | LR: 0.001 | KLD: 0.005, KLW: 1, Rec. Loss: 0.264 | Loss: 0.27 | Abs. Loss: 57.62
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 112 (0.005s) | LR: 0.001 | KLD: 0.004, KLW: 1, Rec. Loss: 0.266 | Loss: 0.27 | Abs. Loss: 57.89
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 113 (0.006s) | LR: 0.001 | KLD: 0.005, KLW: 1, Rec. Loss: 0.264 | Loss: 0.27 | Abs. Loss: 58.16
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 114 (0.006s) | LR: 0.001 | KLD: 0.005, KLW: 1, Rec. Loss: 0.272 | Loss: 0.28 | Abs. Loss: 58.44
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 115 (0.005s) | LR: 0.001 | KLD: 0.006, KLW: 1, Rec. Loss: 0.255 | Loss: 0.26 | Abs. Loss: 58.70
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 116 (0.006s) | LR: 0.001 | KLD: 0.005, KLW: 1, Rec. Loss: 0.267 | Loss: 0.27 | Abs. Loss: 58.97
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 117 (0.005s) | LR: 0.001 | KLD: 0.005, KLW: 1, Rec. Loss: 0.265 | Loss: 0.27 | Abs. Loss: 59.24
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 118 (0.006s) | LR: 0.001 | KLD: 0.004, KLW: 1, Rec. Loss: 0.257 | Loss: 0.26 | Abs. Loss: 59.50
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 119 (0.006s) | LR: 0.001 | KLD: 0.004, KLW: 1, Rec. Loss: 0.261 | Loss: 0.27 | Abs. Loss: 59.77
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 120 (0.005s) | LR: 0.001 | KLD: 0.005, KLW: 1, Rec. Loss: 0.259 | Loss: 0.26 | Abs. Loss: 60.03
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 121 (0.005s) | LR: 0.001 | KLD: 0.005, KLW: 1, Rec. Loss: 0.267 | Loss: 0.27 | Abs. Loss: 60.30
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 122 (0.004s) | LR: 0.001 | KLD: 0.004, KLW: 1, Rec. Loss: 0.268 | Loss: 0.27 | Abs. Loss: 60.57
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 123 (0.005s) | LR: 0.001 | KLD: 0.004, KLW: 1, Rec. Loss: 0.266 | Loss: 0.27 | Abs. Loss: 60.85
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 124 (0.006s) | LR: 0.001 | KLD: 0.005, KLW: 1, Rec. Loss: 0.277 | Loss: 0.28 | Abs. Loss: 61.13
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 125 (0.006s) | LR: 0.001 | KLD: 0.005, KLW: 1, Rec. Loss: 0.264 | Loss: 0.27 | Abs. Loss: 61.39
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 126 (0.004s) | LR: 0.001 | KLD: 0.004, KLW: 1, Rec. Loss: 0.263 | Loss: 0.27 | Abs. Loss: 61.66
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 127 (0.005s) | LR: 0.001 | KLD: 0.004, KLW: 1, Rec. Loss: 0.259 | Loss: 0.26 | Abs. Loss: 61.93
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 128 (0.005s) | LR: 0.001 | KLD: 0.004, KLW: 1, Rec. Loss: 0.261 | Loss: 0.26 | Abs. Loss: 62.19
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 129 (0.005s) | LR: 0.001 | KLD: 0.005, KLW: 1, Rec. Loss: 0.248 | Loss: 0.25 | Abs. Loss: 62.44
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 130 (0.006s) | LR: 0.001 | KLD: 0.005, KLW: 1, Rec. Loss: 0.264 | Loss: 0.27 | Abs. Loss: 62.71
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 131 (0.005s) | LR: 0.001 | KLD: 0.005, KLW: 1, Rec. Loss: 0.279 | Loss: 0.28 | Abs. Loss: 63.00
07/24/24 09:48:21 (0m 03s) | [1/15] Batch 132 (0.005s) | LR: 0.001 | KLD: 0.004, KLW: 1, Rec. Loss: 0.276 | Loss: 0.28 | Abs. Loss: 63.28
