10/04/24 22:56:10 Textual logger initiated. Now configuring tensorboard writer.
10/04/24 22:56:10 Tensorboard writers created. Tensorboard logs will be saved to "./Training Logs/10-04-24__22-56-10/tensorboard".
10/04/24 22:56:10 Starting Tensorboard thread...
10/04/24 22:56:14 Tensorboard is ready at http://localhost:6006/.
10/04/24 22:56:14 Continuing to training script...
10/04/24 22:56:17 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('h_dim', 1024), ('latent_dim', 128))
10/04/24 22:56:17 Train Loader Image Data Size: (28, 28)
10/04/24 22:56:18 (0:00:00.80) | [1/10000] Batch 0 (0.769s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 15058.193, Rec. Loss: 14631.21289062 | Total Loss: 14646.27148438
10/04/24 22:56:18 (0:00:01.48) | [1/10000] Batch 12 (0.006s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14573.084, Rec. Loss: 14184.99902344 | Total Loss: 14199.57226562
10/04/24 22:56:18 (0:00:01.51) | [1/10000] Batch 13 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13091.048, Rec. Loss: 12707.54296875 | Total Loss: 12720.63378906
10/04/24 22:56:18 (0:00:01.55) | [1/10000] Batch 14 (0.006s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14178.104, Rec. Loss: 13798.76757812 | Total Loss: 13812.94531250
10/04/24 22:56:18 (0:00:01.58) | [1/10000] Batch 15 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13694.299, Rec. Loss: 13327.34082031 | Total Loss: 13341.03515625
10/04/24 22:56:18 (0:00:01.62) | [1/10000] Batch 16 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13413.296, Rec. Loss: 13040.69531250 | Total Loss: 13054.10839844
10/04/24 22:56:18 (0:00:01.65) | [1/10000] Batch 17 (0.006s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14866.413, Rec. Loss: 14414.89160156 | Total Loss: 14429.75781250
10/04/24 22:56:19 (0:00:01.69) | [1/10000] Batch 18 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13857.011, Rec. Loss: 13513.58007812 | Total Loss: 13527.43750000
10/04/24 22:56:19 (0:00:01.72) | [1/10000] Batch 19 (0.006s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14183.619, Rec. Loss: 13787.43554688 | Total Loss: 13801.61914062
10/04/24 22:56:19 (0:00:01.76) | [1/10000] Batch 20 (0.006s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13527.245, Rec. Loss: 13153.42480469 | Total Loss: 13166.95214844
10/04/24 22:56:19 (0:00:01.79) | [1/10000] Batch 21 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13654.330, Rec. Loss: 13300.26953125 | Total Loss: 13313.92382812
10/04/24 22:56:19 (0:00:01.83) | [1/10000] Batch 22 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13801.279, Rec. Loss: 13308.83105469 | Total Loss: 13322.63281250
10/04/24 22:56:19 (0:00:01.86) | [1/10000] Batch 23 (0.006s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13644.057, Rec. Loss: 13256.64355469 | Total Loss: 13270.28808594
10/04/24 22:56:19 (0:00:01.89) | [1/10000] Batch 24 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13401.934, Rec. Loss: 13012.23144531 | Total Loss: 13025.63378906
10/04/24 22:56:19 (0:00:01.93) | [1/10000] Batch 25 (0.006s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13721.170, Rec. Loss: 13386.83593750 | Total Loss: 13400.55664062
10/04/24 22:56:19 (0:00:01.97) | [1/10000] Batch 26 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14558.640, Rec. Loss: 14118.59277344 | Total Loss: 14133.15136719
10/04/24 22:56:19 (0:00:02.00) | [1/10000] Batch 27 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14383.272, Rec. Loss: 13921.07714844 | Total Loss: 13935.45996094
10/04/24 22:56:19 (0:00:02.03) | [1/10000] Batch 28 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14107.033, Rec. Loss: 13728.07031250 | Total Loss: 13742.17773438
10/04/24 22:56:19 (0:00:02.07) | [1/10000] Batch 29 (0.006s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13365.188, Rec. Loss: 13051.44042969 | Total Loss: 13064.80566406
10/04/24 22:56:19 (0:00:02.10) | [1/10000] Batch 30 (0.006s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13153.023, Rec. Loss: 12822.31835938 | Total Loss: 12835.47167969
10/04/24 22:56:19 (0:00:02.14) | [1/10000] Batch 31 (0.006s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13535.272, Rec. Loss: 13154.19921875 | Total Loss: 13167.73437500
10/04/24 22:56:19 (0:00:02.17) | [1/10000] Batch 32 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13910.158, Rec. Loss: 13498.84082031 | Total Loss: 13512.75097656
10/04/24 22:56:19 (0:00:02.21) | [1/10000] Batch 33 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14124.502, Rec. Loss: 13822.84082031 | Total Loss: 13836.96484375
10/04/24 22:56:19 (0:00:02.24) | [1/10000] Batch 34 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13050.927, Rec. Loss: 12722.67285156 | Total Loss: 12735.72363281
10/04/24 22:56:19 (0:00:02.27) | [1/10000] Batch 35 (0.006s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14200.157, Rec. Loss: 13751.58398438 | Total Loss: 13765.78417969
10/04/24 22:56:19 (0:00:02.31) | [1/10000] Batch 36 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 15138.959, Rec. Loss: 14734.20703125 | Total Loss: 14749.34570312
10/04/24 22:56:19 (0:00:02.34) | [1/10000] Batch 37 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13363.771, Rec. Loss: 12979.70800781 | Total Loss: 12993.07226562
10/04/24 22:56:19 (0:00:02.38) | [1/10000] Batch 38 (0.006s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14065.369, Rec. Loss: 13693.84570312 | Total Loss: 13707.91113281
10/04/24 22:56:19 (0:00:02.41) | [1/10000] Batch 39 (0.006s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14023.315, Rec. Loss: 13692.38378906 | Total Loss: 13706.40722656
10/04/24 22:56:19 (0:00:02.45) | [1/10000] Batch 40 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13158.467, Rec. Loss: 12839.44042969 | Total Loss: 12852.59863281
10/04/24 22:56:19 (0:00:02.48) | [1/10000] Batch 41 (0.006s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12706.588, Rec. Loss: 12348.73828125 | Total Loss: 12361.44531250
10/04/24 22:56:19 (0:00:02.51) | [1/10000] Batch 42 (0.006s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13926.371, Rec. Loss: 13590.84277344 | Total Loss: 13604.76953125
10/04/24 22:56:19 (0:00:02.55) | [1/10000] Batch 43 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14502.835, Rec. Loss: 14136.70898438 | Total Loss: 14151.21191406
10/04/24 22:56:19 (0:00:02.58) | [1/10000] Batch 44 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13990.494, Rec. Loss: 13632.83398438 | Total Loss: 13646.82421875
10/04/24 22:56:19 (0:00:02.62) | [1/10000] Batch 45 (0.006s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13908.637, Rec. Loss: 13565.57519531 | Total Loss: 13579.48339844
10/04/24 22:56:19 (0:00:02.65) | [1/10000] Batch 46 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13866.778, Rec. Loss: 13537.09375000 | Total Loss: 13550.96093750
10/04/24 22:56:20 (0:00:02.68) | [1/10000] Batch 47 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14220.007, Rec. Loss: 13835.00781250 | Total Loss: 13849.22753906
10/04/24 22:56:20 (0:00:02.72) | [1/10000] Batch 48 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13548.818, Rec. Loss: 13210.82617188 | Total Loss: 13224.37500000
10/04/24 22:56:20 (0:00:02.75) | [1/10000] Batch 49 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14253.312, Rec. Loss: 13894.57324219 | Total Loss: 13908.82617188
10/04/24 22:56:20 (0:00:02.79) | [1/10000] Batch 50 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13919.717, Rec. Loss: 13582.78417969 | Total Loss: 13596.70410156
10/04/24 22:56:20 (0:00:02.83) | [1/10000] Batch 51 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14686.012, Rec. Loss: 14329.88378906 | Total Loss: 14344.56933594
10/04/24 22:56:20 (0:00:02.86) | [1/10000] Batch 52 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12789.951, Rec. Loss: 12446.75488281 | Total Loss: 12459.54492188
10/04/24 22:56:20 (0:00:02.90) | [1/10000] Batch 53 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14057.603, Rec. Loss: 13697.77636719 | Total Loss: 13711.83398438
10/04/24 22:56:20 (0:00:02.94) | [1/10000] Batch 54 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14258.859, Rec. Loss: 13923.41406250 | Total Loss: 13937.67285156
10/04/24 22:56:20 (0:00:02.97) | [1/10000] Batch 55 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13798.142, Rec. Loss: 13496.49414062 | Total Loss: 13510.29199219
10/04/24 22:56:20 (0:00:03.01) | [1/10000] Batch 56 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 15133.938, Rec. Loss: 14748.71875000 | Total Loss: 14763.85253906
10/04/24 22:56:20 (0:00:03.05) | [1/10000] Batch 57 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12822.850, Rec. Loss: 12502.63476562 | Total Loss: 12515.45800781
10/04/24 22:56:20 (0:00:03.08) | [1/10000] Batch 58 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13538.846, Rec. Loss: 13157.34570312 | Total Loss: 13170.88476562
10/04/24 22:56:20 (0:00:03.12) | [1/10000] Batch 59 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14219.619, Rec. Loss: 13849.76367188 | Total Loss: 13863.98339844
10/04/24 22:56:20 (0:00:03.16) | [1/10000] Batch 60 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 15135.704, Rec. Loss: 14721.24121094 | Total Loss: 14736.37695312
10/04/24 22:56:20 (0:00:03.19) | [1/10000] Batch 61 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13318.668, Rec. Loss: 13031.11035156 | Total Loss: 13044.42871094
10/04/24 22:56:20 (0:00:03.23) | [1/10000] Batch 62 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13825.013, Rec. Loss: 13454.31933594 | Total Loss: 13468.14453125
10/04/24 22:56:20 (0:00:03.27) | [1/10000] Batch 63 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13532.424, Rec. Loss: 13283.70312500 | Total Loss: 13297.23535156
10/04/24 22:56:20 (0:00:03.31) | [1/10000] Batch 64 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13154.663, Rec. Loss: 12883.60351562 | Total Loss: 12896.75781250
10/04/24 22:56:20 (0:00:03.35) | [1/10000] Batch 65 (0.012s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13834.836, Rec. Loss: 13563.72265625 | Total Loss: 13577.55761719
10/04/24 22:56:20 (0:00:03.39) | [1/10000] Batch 66 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13282.653, Rec. Loss: 12977.69628906 | Total Loss: 12990.97851562
10/04/24 22:56:20 (0:00:03.43) | [1/10000] Batch 67 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12526.465, Rec. Loss: 12256.22167969 | Total Loss: 12268.74804688
10/04/24 22:56:20 (0:00:03.47) | [1/10000] Batch 68 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14360.440, Rec. Loss: 14065.59667969 | Total Loss: 14079.95703125
10/04/24 22:56:20 (0:00:03.51) | [1/10000] Batch 69 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13115.590, Rec. Loss: 12819.81347656 | Total Loss: 12832.92871094
10/04/24 22:56:20 (0:00:03.55) | [1/10000] Batch 70 (0.008s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13133.690, Rec. Loss: 12806.99804688 | Total Loss: 12820.13183594
10/04/24 22:56:20 (0:00:03.59) | [1/10000] Batch 71 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13373.050, Rec. Loss: 13122.19140625 | Total Loss: 13135.56445312
10/04/24 22:56:20 (0:00:03.63) | [1/10000] Batch 72 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12908.640, Rec. Loss: 12600.61718750 | Total Loss: 12613.52539062
10/04/24 22:56:20 (0:00:03.67) | [1/10000] Batch 73 (0.011s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13390.839, Rec. Loss: 13003.28613281 | Total Loss: 13016.67675781
10/04/24 22:56:21 (0:00:03.71) | [1/10000] Batch 74 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 15002.924, Rec. Loss: 14589.78808594 | Total Loss: 14604.79101562
10/04/24 22:56:21 (0:00:03.75) | [1/10000] Batch 75 (0.011s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13054.627, Rec. Loss: 12783.83789062 | Total Loss: 12796.89257812
10/04/24 22:56:21 (0:00:03.79) | [1/10000] Batch 76 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14046.508, Rec. Loss: 13726.47167969 | Total Loss: 13740.51855469
10/04/24 22:56:21 (0:00:03.83) | [1/10000] Batch 77 (0.011s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13278.807, Rec. Loss: 12952.49609375 | Total Loss: 12965.77441406
10/04/24 22:56:21 (0:00:03.87) | [1/10000] Batch 78 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13616.300, Rec. Loss: 13334.56152344 | Total Loss: 13348.17773438
10/04/24 22:56:21 (0:00:03.91) | [1/10000] Batch 79 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13455.891, Rec. Loss: 13082.21582031 | Total Loss: 13095.67187500
10/04/24 22:56:21 (0:00:03.95) | [1/10000] Batch 80 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14647.961, Rec. Loss: 14297.40722656 | Total Loss: 14312.05566406
10/04/24 22:56:21 (0:00:03.99) | [1/10000] Batch 81 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13461.727, Rec. Loss: 13178.85351562 | Total Loss: 13192.31542969
10/04/24 22:56:21 (0:00:04.02) | [1/10000] Batch 82 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13046.166, Rec. Loss: 12751.96777344 | Total Loss: 12765.01367188
10/04/24 22:56:21 (0:00:04.06) | [1/10000] Batch 83 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 15232.027, Rec. Loss: 14835.08886719 | Total Loss: 14850.32128906
10/04/24 22:56:21 (0:00:04.10) | [1/10000] Batch 84 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13919.863, Rec. Loss: 13598.62207031 | Total Loss: 13612.54199219
10/04/24 22:56:21 (0:00:04.14) | [1/10000] Batch 85 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14003.123, Rec. Loss: 13704.04101562 | Total Loss: 13718.04394531
10/04/24 22:56:21 (0:00:04.18) | [1/10000] Batch 86 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13496.693, Rec. Loss: 13173.08398438 | Total Loss: 13186.58105469
10/04/24 22:56:21 (0:00:04.21) | [1/10000] Batch 87 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14757.032, Rec. Loss: 14360.85546875 | Total Loss: 14375.61230469
10/04/24 22:56:21 (0:00:04.25) | [1/10000] Batch 88 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12886.785, Rec. Loss: 12535.03222656 | Total Loss: 12547.91894531
10/04/24 22:56:21 (0:00:04.29) | [1/10000] Batch 89 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14422.949, Rec. Loss: 14099.85351562 | Total Loss: 14114.27636719
10/04/24 22:56:21 (0:00:04.33) | [1/10000] Batch 90 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12349.881, Rec. Loss: 12118.71191406 | Total Loss: 12131.06152344
10/04/24 22:56:21 (0:00:04.37) | [1/10000] Batch 91 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 11987.766, Rec. Loss: 11709.33691406 | Total Loss: 11721.32421875
10/04/24 22:56:21 (0:00:04.41) | [1/10000] Batch 92 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12840.869, Rec. Loss: 12558.53417969 | Total Loss: 12571.37500000
10/04/24 22:56:21 (0:00:04.44) | [1/10000] Batch 93 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12931.294, Rec. Loss: 12680.25585938 | Total Loss: 12693.18750000
10/04/24 22:56:21 (0:00:04.48) | [1/10000] Batch 94 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13489.660, Rec. Loss: 13197.22070312 | Total Loss: 13210.70996094
10/04/24 22:56:21 (0:00:04.52) | [1/10000] Batch 95 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13389.861, Rec. Loss: 13116.95800781 | Total Loss: 13130.34765625
10/04/24 22:56:21 (0:00:04.56) | [1/10000] Batch 96 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14690.819, Rec. Loss: 14355.82031250 | Total Loss: 14370.51074219
10/04/24 22:56:21 (0:00:04.60) | [1/10000] Batch 97 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14160.702, Rec. Loss: 13797.17089844 | Total Loss: 13811.33203125
10/04/24 22:56:21 (0:00:04.63) | [1/10000] Batch 98 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12764.271, Rec. Loss: 12535.19824219 | Total Loss: 12547.96289062
10/04/24 22:56:22 (0:00:04.67) | [1/10000] Batch 99 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13405.574, Rec. Loss: 13123.13769531 | Total Loss: 13136.54296875
10/04/24 22:56:22 (0:00:04.71) | [1/10000] Batch 100 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14482.934, Rec. Loss: 14189.97851562 | Total Loss: 14204.46191406
10/04/24 22:56:22 (0:00:04.75) | [1/10000] Batch 101 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13706.537, Rec. Loss: 13429.93945312 | Total Loss: 13443.64550781
10/04/24 22:56:22 (0:00:04.79) | [1/10000] Batch 102 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 15072.055, Rec. Loss: 14770.32617188 | Total Loss: 14785.39843750
10/04/24 22:56:22 (0:00:04.83) | [1/10000] Batch 103 (0.011s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13681.444, Rec. Loss: 13393.82714844 | Total Loss: 13407.50878906
10/04/24 22:56:22 (0:00:04.87) | [1/10000] Batch 104 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13953.402, Rec. Loss: 13672.96972656 | Total Loss: 13686.92285156
10/04/24 22:56:22 (0:00:04.91) | [1/10000] Batch 105 (0.011s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13439.135, Rec. Loss: 13091.07128906 | Total Loss: 13104.51074219
10/04/24 22:56:22 (0:00:04.95) | [1/10000] Batch 106 (0.011s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13485.420, Rec. Loss: 13174.09667969 | Total Loss: 13187.58203125
10/04/24 22:56:22 (0:00:04.99) | [1/10000] Batch 107 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14258.079, Rec. Loss: 13933.40039062 | Total Loss: 13947.65820312
10/04/24 22:56:22 (0:00:05.02) | [1/10000] Batch 108 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14242.475, Rec. Loss: 13951.39257812 | Total Loss: 13965.63476562
10/04/24 22:56:22 (0:00:05.06) | [1/10000] Batch 109 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14144.755, Rec. Loss: 13883.35546875 | Total Loss: 13897.50000000
10/04/24 22:56:22 (0:00:05.10) | [1/10000] Batch 110 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14229.303, Rec. Loss: 13922.37207031 | Total Loss: 13936.60156250
10/04/24 22:56:22 (0:00:05.14) | [1/10000] Batch 111 (0.009s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13061.436, Rec. Loss: 12772.16796875 | Total Loss: 12785.22949219
10/04/24 22:56:22 (0:00:05.18) | [1/10000] Batch 112 (0.013s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13697.403, Rec. Loss: 13390.33984375 | Total Loss: 13404.03710938
10/04/24 22:56:22 (0:00:05.22) | [1/10000] Batch 113 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14173.904, Rec. Loss: 13775.84277344 | Total Loss: 13790.01660156
10/04/24 22:56:22 (0:00:05.26) | [1/10000] Batch 114 (0.011s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13950.479, Rec. Loss: 13633.54101562 | Total Loss: 13647.49121094
10/04/24 22:56:22 (0:00:05.30) | [1/10000] Batch 115 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13579.383, Rec. Loss: 13322.33007812 | Total Loss: 13335.90917969
10/04/24 22:56:22 (0:00:05.34) | [1/10000] Batch 116 (0.011s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13847.717, Rec. Loss: 13545.63085938 | Total Loss: 13559.47851562
10/04/24 22:56:22 (0:00:05.39) | [1/10000] Batch 117 (0.011s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13410.189, Rec. Loss: 13064.84765625 | Total Loss: 13078.25781250
10/04/24 22:56:22 (0:00:05.43) | [1/10000] Batch 118 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12779.441, Rec. Loss: 12589.52441406 | Total Loss: 12602.30371094
10/04/24 22:56:22 (0:00:05.47) | [1/10000] Batch 119 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12747.121, Rec. Loss: 12495.81054688 | Total Loss: 12508.55761719
10/04/24 22:56:22 (0:00:05.52) | [1/10000] Batch 120 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 15151.497, Rec. Loss: 14828.55175781 | Total Loss: 14843.70312500
10/04/24 22:56:22 (0:00:05.56) | [1/10000] Batch 121 (0.012s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14133.668, Rec. Loss: 13907.85937500 | Total Loss: 13921.99316406
10/04/24 22:56:22 (0:00:05.60) | [1/10000] Batch 122 (0.011s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13196.761, Rec. Loss: 12884.68554688 | Total Loss: 12897.88183594
10/04/24 22:56:22 (0:00:05.65) | [1/10000] Batch 123 (0.011s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12831.412, Rec. Loss: 12580.93359375 | Total Loss: 12593.76464844
10/04/24 22:56:23 (0:00:05.69) | [1/10000] Batch 124 (0.011s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13012.397, Rec. Loss: 12749.10156250 | Total Loss: 12762.11425781
10/04/24 22:56:23 (0:00:05.73) | [1/10000] Batch 125 (0.011s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14115.416, Rec. Loss: 13804.13378906 | Total Loss: 13818.24902344
10/04/24 22:56:23 (0:00:05.77) | [1/10000] Batch 126 (0.011s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13287.723, Rec. Loss: 13020.06054688 | Total Loss: 13033.34863281
10/04/24 22:56:23 (0:00:05.81) | [1/10000] Batch 127 (0.010s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 11714.518, Rec. Loss: 11430.21679688 | Total Loss: 11441.93164062
