08/08/24 17:03:48 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

08/08/24 17:03:49 (0m 00s) | [1/8] Batch 0 (0.703s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 54627.113 | Loss: 54627.57 | Abs. Loss: 54627.57
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 11 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 28136.812 | Loss: 28137.29 | Abs. Loss: 444949.58
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 12 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 26630.420 | Loss: 26630.95 | Abs. Loss: 471580.53
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 13 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 24076.840 | Loss: 24077.80 | Abs. Loss: 495658.33
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 14 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 24351.945 | Loss: 24354.49 | Abs. Loss: 520012.82
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 15 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 23853.176 | Loss: 23855.40 | Abs. Loss: 543868.21
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 16 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 24934.605 | Loss: 24935.77 | Abs. Loss: 568803.98
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 17 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 24352.564 | Loss: 24353.41 | Abs. Loss: 593157.39
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 18 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 23699.006 | Loss: 23700.05 | Abs. Loss: 616857.45
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 19 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 23936.695 | Loss: 23938.49 | Abs. Loss: 640795.94
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 20 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 22026.195 | Loss: 22029.70 | Abs. Loss: 662825.63
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 21 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 21758.055 | Loss: 21762.18 | Abs. Loss: 684587.81
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 22 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 21345.879 | Loss: 21350.04 | Abs. Loss: 705937.86
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 23 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 20742.238 | Loss: 20748.47 | Abs. Loss: 726686.33
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 24 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 21685.291 | Loss: 21694.97 | Abs. Loss: 748381.30
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 25 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 22165.432 | Loss: 22168.22 | Abs. Loss: 770549.51
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 26 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 19822.445 | Loss: 19824.61 | Abs. Loss: 790374.12
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 27 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 21905.498 | Loss: 21908.43 | Abs. Loss: 812282.56
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 28 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 22756.139 | Loss: 22758.98 | Abs. Loss: 835041.54
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 29 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 21036.527 | Loss: 21038.35 | Abs. Loss: 856079.89
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 30 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 21548.104 | Loss: 21549.56 | Abs. Loss: 877629.45
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 31 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 20364.121 | Loss: 20365.24 | Abs. Loss: 897994.69
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 32 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 20824.160 | Loss: 20825.65 | Abs. Loss: 918820.34
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 33 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 20947.230 | Loss: 20949.03 | Abs. Loss: 939769.37
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 34 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 21245.938 | Loss: 21248.13 | Abs. Loss: 961017.50
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 35 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 20486.787 | Loss: 20490.02 | Abs. Loss: 981507.52
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 36 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 20009.553 | Loss: 20014.39 | Abs. Loss: 1001521.91
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 37 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 20060.684 | Loss: 20066.98 | Abs. Loss: 1021588.89
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 38 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 20618.840 | Loss: 20628.04 | Abs. Loss: 1042216.93
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 39 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 19905.023 | Loss: 19913.55 | Abs. Loss: 1062130.49
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 40 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 20051.736 | Loss: 20057.59 | Abs. Loss: 1082188.08
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 41 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 18989.090 | Loss: 18995.61 | Abs. Loss: 1101183.69
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 42 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 19548.277 | Loss: 19553.61 | Abs. Loss: 1120737.30
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 43 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 19811.316 | Loss: 19816.81 | Abs. Loss: 1140554.11
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 44 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 19245.139 | Loss: 19252.19 | Abs. Loss: 1159806.30
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 45 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 19770.797 | Loss: 19777.93 | Abs. Loss: 1179584.23
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 46 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 18832.504 | Loss: 18838.20 | Abs. Loss: 1198422.43
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 47 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 20331.859 | Loss: 20338.30 | Abs. Loss: 1218760.73
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 48 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 18839.395 | Loss: 18845.18 | Abs. Loss: 1237605.91
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 49 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 19827.805 | Loss: 19834.73 | Abs. Loss: 1257440.64
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 50 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 19077.570 | Loss: 19083.74 | Abs. Loss: 1276524.38
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 51 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 19596.047 | Loss: 19603.60 | Abs. Loss: 1296127.97
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 52 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 19093.100 | Loss: 19099.37 | Abs. Loss: 1315227.35
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 53 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 19250.150 | Loss: 19257.92 | Abs. Loss: 1334485.27
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 54 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 19195.045 | Loss: 19203.69 | Abs. Loss: 1353688.95
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 55 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 19147.051 | Loss: 19154.70 | Abs. Loss: 1372843.66
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 56 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 18726.580 | Loss: 18733.40 | Abs. Loss: 1391577.06
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 57 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 18879.152 | Loss: 18886.47 | Abs. Loss: 1410463.53
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 58 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 18774.176 | Loss: 18782.51 | Abs. Loss: 1429246.04
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 59 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 18456.107 | Loss: 18463.98 | Abs. Loss: 1447710.02
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 60 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 18800.480 | Loss: 18809.53 | Abs. Loss: 1466519.55
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 61 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 18585.076 | Loss: 18594.83 | Abs. Loss: 1485114.38
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 62 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 19025.965 | Loss: 19035.97 | Abs. Loss: 1504150.35
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 63 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 19147.621 | Loss: 19155.82 | Abs. Loss: 1523306.18
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 64 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 18884.715 | Loss: 18893.89 | Abs. Loss: 1542200.06
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 65 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 18418.453 | Loss: 18428.21 | Abs. Loss: 1560628.27
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 66 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 17494.031 | Loss: 17502.13 | Abs. Loss: 1578130.39
08/08/24 17:03:50 (0m 02s) | [1/8] Batch 67 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 17569.977 | Loss: 17577.18 | Abs. Loss: 1595707.57
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 68 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 19193.188 | Loss: 19204.58 | Abs. Loss: 1614912.15
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 69 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 18347.035 | Loss: 18357.12 | Abs. Loss: 1633269.27
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 70 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 18455.949 | Loss: 18466.39 | Abs. Loss: 1651735.66
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 71 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 18410.152 | Loss: 18420.80 | Abs. Loss: 1670156.46
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 72 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 18576.055 | Loss: 18589.20 | Abs. Loss: 1688745.66
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 73 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 18371.559 | Loss: 18385.04 | Abs. Loss: 1707130.70
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 74 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 17963.305 | Loss: 17977.25 | Abs. Loss: 1725107.94
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 75 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 17865.219 | Loss: 17880.92 | Abs. Loss: 1742988.86
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 76 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 17915.047 | Loss: 17933.20 | Abs. Loss: 1760922.06
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 77 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 18420.584 | Loss: 18437.81 | Abs. Loss: 1779359.87
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 78 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 17915.840 | Loss: 17933.94 | Abs. Loss: 1797293.80
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 79 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 17961.379 | Loss: 17977.07 | Abs. Loss: 1815270.88
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 80 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 17031.523 | Loss: 17048.43 | Abs. Loss: 1832319.30
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 81 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 17513.875 | Loss: 17531.31 | Abs. Loss: 1849850.61
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 82 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 18241.740 | Loss: 18259.60 | Abs. Loss: 1868110.21
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 83 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 17225.053 | Loss: 17244.02 | Abs. Loss: 1885354.23
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 84 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 17043.494 | Loss: 17063.19 | Abs. Loss: 1902417.43
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 85 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 17000.969 | Loss: 17021.67 | Abs. Loss: 1919439.10
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 86 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 16631.535 | Loss: 16652.27 | Abs. Loss: 1936091.38
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 87 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 17526.631 | Loss: 17547.06 | Abs. Loss: 1953638.44
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 88 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 16908.512 | Loss: 16930.36 | Abs. Loss: 1970568.80
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 89 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 17147.730 | Loss: 17173.14 | Abs. Loss: 1987741.94
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 90 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 17486.250 | Loss: 17512.34 | Abs. Loss: 2005254.28
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 91 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 17236.652 | Loss: 17258.55 | Abs. Loss: 2022512.83
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 92 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 17093.395 | Loss: 17117.32 | Abs. Loss: 2039630.15
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 93 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 16777.375 | Loss: 16798.05 | Abs. Loss: 2056428.20
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 94 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 17351.039 | Loss: 17370.43 | Abs. Loss: 2073798.63
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 95 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 16870.328 | Loss: 16891.03 | Abs. Loss: 2090689.66
08/08/24 17:03:51 (0m 02s) | [1/8] Batch 96 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 16698.691 | Loss: 16720.49 | Abs. Loss: 2107410.16
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 97 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 16988.102 | Loss: 17010.48 | Abs. Loss: 2124420.64
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 98 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 16449.377 | Loss: 16472.77 | Abs. Loss: 2140893.41
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 99 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 16961.949 | Loss: 16983.89 | Abs. Loss: 2157877.30
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 100 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 15737.086 | Loss: 15760.44 | Abs. Loss: 2173637.75
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 101 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 16478.420 | Loss: 16500.54 | Abs. Loss: 2190138.29
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 102 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 17368.797 | Loss: 17394.00 | Abs. Loss: 2207532.29
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 103 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 17096.465 | Loss: 17116.69 | Abs. Loss: 2224648.98
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 104 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 15733.974 | Loss: 15754.04 | Abs. Loss: 2240403.03
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 105 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 16966.328 | Loss: 16989.64 | Abs. Loss: 2257392.67
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 106 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 17206.812 | Loss: 17229.24 | Abs. Loss: 2274621.91
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 107 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 15492.614 | Loss: 15512.63 | Abs. Loss: 2290134.54
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 108 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 15973.859 | Loss: 15994.36 | Abs. Loss: 2306128.90
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 109 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 15926.066 | Loss: 15946.20 | Abs. Loss: 2322075.10
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 110 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 15588.993 | Loss: 15608.58 | Abs. Loss: 2337683.67
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 111 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 15888.514 | Loss: 15910.52 | Abs. Loss: 2353594.20
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 112 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 15736.506 | Loss: 15759.33 | Abs. Loss: 2369353.52
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 113 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 16765.758 | Loss: 16794.10 | Abs. Loss: 2386147.62
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 114 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 16479.670 | Loss: 16506.18 | Abs. Loss: 2402653.80
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 115 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 15567.111 | Loss: 15591.24 | Abs. Loss: 2418245.04
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 116 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 16008.061 | Loss: 16034.88 | Abs. Loss: 2434279.92
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 117 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 15602.803 | Loss: 15627.90 | Abs. Loss: 2449907.82
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 118 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 15243.524 | Loss: 15267.73 | Abs. Loss: 2465175.55
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 119 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 15598.342 | Loss: 15621.40 | Abs. Loss: 2480796.94
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 120 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 15692.994 | Loss: 15718.71 | Abs. Loss: 2496515.65
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 121 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 16194.196 | Loss: 16219.82 | Abs. Loss: 2512735.47
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 122 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 15295.565 | Loss: 15319.40 | Abs. Loss: 2528054.87
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 123 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 15372.025 | Loss: 15396.21 | Abs. Loss: 2543451.08
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 124 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 15735.144 | Loss: 15761.62 | Abs. Loss: 2559212.71
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 125 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 15062.774 | Loss: 15088.93 | Abs. Loss: 2574301.64
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 126 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 15824.485 | Loss: 15850.25 | Abs. Loss: 2590151.88
08/08/24 17:03:51 (0m 03s) | [1/8] Batch 127 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 15250.160 | Loss: 15276.46 | Abs. Loss: 2605428.34
08/08/24 17:03:52 (0m 03s) | [1/8] Batch 128 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 14560.703 | Loss: 14588.49 | Abs. Loss: 2620016.83
08/08/24 17:03:52 (0m 03s) | [1/8] Batch 129 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 15417.582 | Loss: 15443.87 | Abs. Loss: 2635460.70
08/08/24 17:03:52 (0m 03s) | [1/8] Batch 130 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 14470.893 | Loss: 14495.79 | Abs. Loss: 2649956.49
08/08/24 17:03:52 (0m 03s) | [1/8] Batch 131 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 15669.813 | Loss: 15699.10 | Abs. Loss: 2665655.59
08/08/24 17:03:52 (0m 03s) | [1/8] Batch 132 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 15218.307 | Loss: 15250.62 | Abs. Loss: 2680906.21
08/08/24 17:03:52 (0m 03s) | [1/8] Batch 133 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 15485.089 | Loss: 15512.89 | Abs. Loss: 2696419.10
08/08/24 17:03:52 (0m 03s) | [1/8] Batch 134 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 15386.964 | Loss: 15418.73 | Abs. Loss: 2711837.83
08/08/24 17:03:52 (0m 03s) | [1/8] Batch 135 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 14424.050 | Loss: 14453.55 | Abs. Loss: 2726291.39
08/08/24 17:03:52 (0m 03s) | [1/8] Batch 136 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 14111.489 | Loss: 14143.14 | Abs. Loss: 2740434.52
08/08/24 17:03:52 (0m 03s) | [1/8] Batch 137 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 14331.314 | Loss: 14362.04 | Abs. Loss: 2754796.56
