07/17/24 12:42:30 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

07/17/24 12:42:31 (0.76s) | Epoch: 1 | Batch: 0 (0.747s) | LR: 0.001 | KL Weight: 0.1 | Loss: 55286.53
07/17/24 12:42:32 (1.99s) | Epoch: 1 | Batch: 28 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20354.68
07/17/24 12:42:32 (2.01s) | Epoch: 1 | Batch: 29 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21168.94
07/17/24 12:42:32 (2.02s) | Epoch: 1 | Batch: 30 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20505.00
07/17/24 12:42:32 (2.04s) | Epoch: 1 | Batch: 31 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20181.39
07/17/24 12:42:32 (2.06s) | Epoch: 1 | Batch: 32 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21649.36
07/17/24 12:42:32 (2.07s) | Epoch: 1 | Batch: 33 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20709.47
07/17/24 12:42:32 (2.09s) | Epoch: 1 | Batch: 34 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20025.89
07/17/24 12:42:32 (2.11s) | Epoch: 1 | Batch: 35 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19974.97
07/17/24 12:42:32 (2.12s) | Epoch: 1 | Batch: 36 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20785.98
07/17/24 12:42:32 (2.14s) | Epoch: 1 | Batch: 37 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20071.80
07/17/24 12:42:32 (2.16s) | Epoch: 1 | Batch: 38 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20222.35
07/17/24 12:42:32 (2.17s) | Epoch: 1 | Batch: 39 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18909.62
07/17/24 12:42:32 (2.19s) | Epoch: 1 | Batch: 40 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19856.50
07/17/24 12:42:32 (2.21s) | Epoch: 1 | Batch: 41 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19729.96
07/17/24 12:42:32 (2.22s) | Epoch: 1 | Batch: 42 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20431.96
07/17/24 12:42:32 (2.24s) | Epoch: 1 | Batch: 43 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19868.94
07/17/24 12:42:32 (2.26s) | Epoch: 1 | Batch: 44 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20147.16
07/17/24 12:42:33 (2.27s) | Epoch: 1 | Batch: 45 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18871.32
07/17/24 12:42:33 (2.29s) | Epoch: 1 | Batch: 46 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19329.31
07/17/24 12:42:33 (2.31s) | Epoch: 1 | Batch: 47 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19945.35
07/17/24 12:42:33 (2.32s) | Epoch: 1 | Batch: 48 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19017.44
07/17/24 12:42:33 (2.34s) | Epoch: 1 | Batch: 49 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19929.29
07/17/24 12:42:33 (2.36s) | Epoch: 1 | Batch: 50 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19850.06
07/17/24 12:42:33 (2.37s) | Epoch: 1 | Batch: 51 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19918.05
07/17/24 12:42:33 (2.39s) | Epoch: 1 | Batch: 52 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19846.48
07/17/24 12:42:33 (2.41s) | Epoch: 1 | Batch: 53 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19365.88
07/17/24 12:42:33 (2.42s) | Epoch: 1 | Batch: 54 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18909.73
07/17/24 12:42:33 (2.44s) | Epoch: 1 | Batch: 55 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19209.99
07/17/24 12:42:33 (2.46s) | Epoch: 1 | Batch: 56 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19295.10
07/17/24 12:42:33 (2.47s) | Epoch: 1 | Batch: 57 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19197.19
07/17/24 12:42:33 (2.49s) | Epoch: 1 | Batch: 58 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19245.05
07/17/24 12:42:33 (2.51s) | Epoch: 1 | Batch: 59 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18859.80
07/17/24 12:42:33 (2.52s) | Epoch: 1 | Batch: 60 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19265.97
07/17/24 12:42:33 (2.54s) | Epoch: 1 | Batch: 61 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18987.90
07/17/24 12:42:33 (2.56s) | Epoch: 1 | Batch: 62 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19546.12
07/17/24 12:42:33 (2.57s) | Epoch: 1 | Batch: 63 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18687.36
07/17/24 12:42:33 (2.59s) | Epoch: 1 | Batch: 64 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17887.32
07/17/24 12:42:33 (2.61s) | Epoch: 1 | Batch: 65 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19225.02
07/17/24 12:42:33 (2.62s) | Epoch: 1 | Batch: 66 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18673.24
07/17/24 12:42:33 (2.64s) | Epoch: 1 | Batch: 67 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18734.15
07/17/24 12:42:33 (2.66s) | Epoch: 1 | Batch: 68 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18638.66
07/17/24 12:42:33 (2.67s) | Epoch: 1 | Batch: 69 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18427.12
07/17/24 12:42:33 (2.69s) | Epoch: 1 | Batch: 70 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19424.10
07/17/24 12:42:33 (2.71s) | Epoch: 1 | Batch: 71 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19242.19
07/17/24 12:42:33 (2.72s) | Epoch: 1 | Batch: 72 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19083.18
07/17/24 12:42:33 (2.74s) | Epoch: 1 | Batch: 73 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18042.84
07/17/24 12:42:33 (2.76s) | Epoch: 1 | Batch: 74 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19181.98
07/17/24 12:42:33 (2.77s) | Epoch: 1 | Batch: 75 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18801.34
07/17/24 12:42:33 (2.79s) | Epoch: 1 | Batch: 76 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18945.86
07/17/24 12:42:33 (2.81s) | Epoch: 1 | Batch: 77 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19296.08
07/17/24 12:42:33 (2.82s) | Epoch: 1 | Batch: 78 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18417.92
07/17/24 12:42:33 (2.84s) | Epoch: 1 | Batch: 79 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18527.03
07/17/24 12:42:33 (2.86s) | Epoch: 1 | Batch: 80 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18663.02
07/17/24 12:42:33 (2.87s) | Epoch: 1 | Batch: 81 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18237.46
07/17/24 12:42:33 (2.89s) | Epoch: 1 | Batch: 82 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18949.12
07/17/24 12:42:33 (2.91s) | Epoch: 1 | Batch: 83 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18827.14
07/17/24 12:42:33 (2.92s) | Epoch: 1 | Batch: 84 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18198.29
07/17/24 12:42:33 (2.94s) | Epoch: 1 | Batch: 85 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18221.40
07/17/24 12:42:33 (2.96s) | Epoch: 1 | Batch: 86 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18503.40
07/17/24 12:42:33 (2.97s) | Epoch: 1 | Batch: 87 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18466.24
07/17/24 12:42:33 (2.99s) | Epoch: 1 | Batch: 88 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18025.18
07/17/24 12:42:33 (3.01s) | Epoch: 1 | Batch: 89 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18052.30
07/17/24 12:42:33 (3.02s) | Epoch: 1 | Batch: 90 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17853.33
07/17/24 12:42:33 (3.04s) | Epoch: 1 | Batch: 91 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18296.24
07/17/24 12:42:33 (3.06s) | Epoch: 1 | Batch: 92 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16529.21
07/17/24 12:42:33 (3.07s) | Epoch: 1 | Batch: 93 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17137.19
07/17/24 12:42:33 (3.09s) | Epoch: 1 | Batch: 94 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18089.30
07/17/24 12:42:33 (3.11s) | Epoch: 1 | Batch: 95 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17848.44
07/17/24 12:42:33 (3.12s) | Epoch: 1 | Batch: 96 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17339.44
07/17/24 12:42:33 (3.14s) | Epoch: 1 | Batch: 97 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18269.94
07/17/24 12:42:33 (3.16s) | Epoch: 1 | Batch: 98 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17769.14
07/17/24 12:42:33 (3.17s) | Epoch: 1 | Batch: 99 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18739.41
07/17/24 12:42:33 (3.19s) | Epoch: 1 | Batch: 100 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16354.76
07/17/24 12:42:33 (3.21s) | Epoch: 1 | Batch: 101 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17788.28
07/17/24 12:42:33 (3.22s) | Epoch: 1 | Batch: 102 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17353.28
07/17/24 12:42:33 (3.24s) | Epoch: 1 | Batch: 103 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17222.59
07/17/24 12:42:33 (3.26s) | Epoch: 1 | Batch: 104 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17362.00
07/17/24 12:42:34 (3.27s) | Epoch: 1 | Batch: 105 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17539.86
07/17/24 12:42:34 (3.29s) | Epoch: 1 | Batch: 106 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17203.00
07/17/24 12:42:34 (3.31s) | Epoch: 1 | Batch: 107 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17559.87
07/17/24 12:42:34 (3.32s) | Epoch: 1 | Batch: 108 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16687.52
07/17/24 12:42:34 (3.34s) | Epoch: 1 | Batch: 109 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16868.38
07/17/24 12:42:34 (3.36s) | Epoch: 1 | Batch: 110 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17071.71
07/17/24 12:42:34 (3.37s) | Epoch: 1 | Batch: 111 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17031.69
07/17/24 12:42:34 (3.39s) | Epoch: 1 | Batch: 112 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16111.25
07/17/24 12:42:34 (3.41s) | Epoch: 1 | Batch: 113 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16514.65
07/17/24 12:42:34 (3.42s) | Epoch: 1 | Batch: 114 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17185.05
07/17/24 12:42:34 (3.44s) | Epoch: 1 | Batch: 115 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17457.41
07/17/24 12:42:34 (3.46s) | Epoch: 1 | Batch: 116 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16828.82
07/17/24 12:42:34 (3.47s) | Epoch: 1 | Batch: 117 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16501.08
07/17/24 12:42:34 (3.49s) | Epoch: 1 | Batch: 118 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16681.28
07/17/24 12:42:34 (3.51s) | Epoch: 1 | Batch: 119 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16691.14
07/17/24 12:42:34 (3.52s) | Epoch: 1 | Batch: 120 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17093.42
07/17/24 12:42:34 (3.54s) | Epoch: 1 | Batch: 121 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17099.80
07/17/24 12:42:34 (3.56s) | Epoch: 1 | Batch: 122 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16558.01
07/17/24 12:42:34 (3.57s) | Epoch: 1 | Batch: 123 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16175.64
07/17/24 12:42:34 (3.59s) | Epoch: 1 | Batch: 124 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16732.18
07/17/24 12:42:34 (3.61s) | Epoch: 1 | Batch: 125 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16661.47
07/17/24 12:42:34 (3.62s) | Epoch: 1 | Batch: 126 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16497.46
07/17/24 12:42:34 (3.64s) | Epoch: 1 | Batch: 127 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16820.61
07/17/24 12:42:34 (3.66s) | Epoch: 1 | Batch: 128 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17543.63
07/17/24 12:42:34 (3.67s) | Epoch: 1 | Batch: 129 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 15824.93
07/17/24 12:42:34 (3.69s) | Epoch: 1 | Batch: 130 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16152.02
07/17/24 12:42:34 (3.71s) | Epoch: 1 | Batch: 131 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16350.92
07/17/24 12:42:34 (3.72s) | Epoch: 1 | Batch: 132 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16300.47
07/17/24 12:42:34 (3.74s) | Epoch: 1 | Batch: 133 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16481.95
07/17/24 12:42:34 (3.76s) | Epoch: 1 | Batch: 134 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16047.79
07/17/24 12:42:34 (3.77s) | Epoch: 1 | Batch: 135 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16111.25
07/17/24 12:42:34 (3.79s) | Epoch: 1 | Batch: 136 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 15942.36
07/17/24 12:42:34 (3.81s) | Epoch: 1 | Batch: 137 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16649.61
07/17/24 12:42:34 (3.82s) | Epoch: 1 | Batch: 138 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 15612.21
07/17/24 12:42:34 (3.84s) | Epoch: 1 | Batch: 139 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16188.30
07/17/24 12:42:34 (3.86s) | Epoch: 1 | Batch: 140 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 15049.17
07/17/24 12:42:34 (3.87s) | Epoch: 1 | Batch: 141 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16326.45
07/17/24 12:42:34 (3.89s) | Epoch: 1 | Batch: 142 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 15923.14
07/17/24 12:42:34 (3.91s) | Epoch: 1 | Batch: 143 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 15767.42
07/17/24 12:42:34 (3.92s) | Epoch: 1 | Batch: 144 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 15623.61
07/17/24 12:42:34 (3.94s) | Epoch: 1 | Batch: 145 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 14914.14
07/17/24 12:42:34 (3.96s) | Epoch: 1 | Batch: 146 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 14770.66
07/17/24 12:42:34 (3.97s) | Epoch: 1 | Batch: 147 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 15193.16
07/17/24 12:42:34 (3.99s) | Epoch: 1 | Batch: 148 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 14839.21
07/17/24 12:42:34 (4.01s) | Epoch: 1 | Batch: 149 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 14950.01
07/17/24 12:42:34 (4.02s) | Epoch: 1 | Batch: 150 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 14929.22
07/17/24 12:42:34 (4.04s) | Epoch: 1 | Batch: 151 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 14921.57
07/17/24 12:42:34 (4.06s) | Epoch: 1 | Batch: 152 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 14642.84
07/17/24 12:42:34 (4.07s) | Epoch: 1 | Batch: 153 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 14468.63
07/17/24 12:42:34 (4.09s) | Epoch: 1 | Batch: 154 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 14797.57
07/17/24 12:42:34 (4.11s) | Epoch: 1 | Batch: 155 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 14820.06
07/17/24 12:42:34 (4.12s) | Epoch: 1 | Batch: 156 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 13889.81
07/17/24 12:42:34 (4.14s) | Epoch: 1 | Batch: 157 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 14569.61
07/17/24 12:42:34 (4.16s) | Epoch: 1 | Batch: 158 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 14171.71
07/17/24 12:42:34 (4.17s) | Epoch: 1 | Batch: 159 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 14274.95
07/17/24 12:42:34 (4.19s) | Epoch: 1 | Batch: 160 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 14803.53
07/17/24 12:42:34 (4.21s) | Epoch: 1 | Batch: 161 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 14326.62
07/17/24 12:42:34 (4.22s) | Epoch: 1 | Batch: 162 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 13782.82
07/17/24 12:42:34 (4.24s) | Epoch: 1 | Batch: 163 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 14063.33
07/17/24 12:42:34 (4.26s) | Epoch: 1 | Batch: 164 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 13659.49
07/17/24 12:42:35 (4.27s) | Epoch: 1 | Batch: 165 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 13547.75
07/17/24 12:42:35 (4.29s) | Epoch: 1 | Batch: 166 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 15104.46
07/17/24 12:42:35 (4.31s) | Epoch: 1 | Batch: 167 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 14644.43
07/17/24 12:42:35 (4.32s) | Epoch: 1 | Batch: 168 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 13868.41
07/17/24 12:42:35 (4.34s) | Epoch: 1 | Batch: 169 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 14104.88
07/17/24 12:42:35 (4.36s) | Epoch: 1 | Batch: 170 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 13985.40
07/17/24 12:42:35 (4.37s) | Epoch: 1 | Batch: 171 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 13697.67
07/17/24 12:42:35 (4.39s) | Epoch: 1 | Batch: 172 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 13751.45
07/17/24 12:42:35 (4.41s) | Epoch: 1 | Batch: 173 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 13469.19
07/17/24 12:42:35 (4.42s) | Epoch: 1 | Batch: 174 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 13522.18
07/17/24 12:42:35 (4.44s) | Epoch: 1 | Batch: 175 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 13087.85
07/17/24 12:42:35 (4.46s) | Epoch: 1 | Batch: 176 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 13702.48
07/17/24 12:42:35 (4.47s) | Epoch: 1 | Batch: 177 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 14478.61
07/17/24 12:42:35 (4.49s) | Epoch: 1 | Batch: 178 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 13504.72
07/17/24 12:42:35 (4.51s) | Epoch: 1 | Batch: 179 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 13891.40
07/17/24 12:42:35 (4.52s) | Epoch: 1 | Batch: 180 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 13598.94
07/17/24 12:42:35 (4.54s) | Epoch: 1 | Batch: 181 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 13759.91
07/17/24 12:42:35 (4.56s) | Epoch: 1 | Batch: 182 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 13650.31
